text,label
"So now that it's not getting banned, should I download TikTok?",1
I hope the COVIDIOTS and antivaxxers are watching this brutal episode of Ambulance @USER,0
Not Noah trending in auto racing cause Hamilton thought he parted the Red Sea,0
I never thought I’d have a mortal enemy but it’s whoever keeps printing on blue paper and then leaving like 5-10 blue sheets in the math room copier when they’re done for the next unsuspecting person,1
don’t make me rewatch panic,1
Worked out 2 days in a row. I am quite literally the epitome of health and fitness,1
Most depressing thing about living in a damp student room: even my fake flowers are wilting.,0
my greatest downfall is having an upset stomach then eating spicy food to make it worse.,0
"You know what makes a 15 minute wait for the bus even better, rum leaking all over the contents of your bag",1
@USER @USER hot loli,1
I got called ugly on Twitter by an uneducated teen who refuses to show his face:( I’m gonna cry myself to sleep I’m in gut wrenching pain!,1
My life is complete. Just had the best peanut butter and toffee cupcake ever,0
"i am afraid that, despite all of your words and actions, you actually just hate me",0
dev patel is so hot girl i was having a crisis watching the green night,0
If you ever wanted to know what it feels like to have dyslexia I would recommend the book House of Leaves.,1
I really feel bad for all the pups this time of year.,0
it's all fun and games until the bigot we have been making dumb memes of for the past year is hours away from becoming our next president.,0
"Just poured boiling water all over my cereal instead of into my tea cup, gonna be a long day this.",0
I forgot how much the notebook makes me cry everytime. Now I’m sitting here on a Friday night with puffy red eyes and im super emotional,0
They really took friends off Netflix ‍️ what am I suppose to watch now??!??!!,1
"@USER @USER Get ratioed, then tell us more about the ""hate-filled left,"" especially about how the Republicans and independents who voted for Biden are somehow part of that group",1
thinking about that time when a week after i broke up with him my ex sent me a playlist to tell me all his feelings from throughout our 3 week relationship+how he felt about it ending and the whole thing was just john mayer songs,0
Highway signs where they stretch the state shape to fit the numbers in make me irrationally angry,0
This will haunt me forever !!!!!! untildawn scared twitch HTTPURL,0
I'M THINKING THIEVES 100T LCS,0
Good morning September... Hello tonsillitis :(,1
"@USER I have been a member for 12 years, pretty frustrated with the customer service today. Really hard to recommend them currently",0
If someone's not willing to fight for you then they don't deserve to be kept around moveon,0
Accidentally made a friend in ASL today. I hate when that happens.,1
Synthwave communities really love pessimism don't they haha Any upbeat energy and people get upset at ya,1
just impulse bought a mandolin and in 3-5 buisness days i will impulse learn some jigs,0
I’m in Canada so like Happy 4rth?,1
"We have changed our name on here to keep family from finding us, we are still didivination just look different.",0
Going out is overrated! On the couch watching serial killer documentaries is how I like to spend my Fridays ‍️,0
"Oh wow, trolls really have a lot of time on there hands, jeez they really don’t like getting banned twitchtrolls",1
It’s “let’s see how many crumbs I can find in scarf” szn.,1
"When you're feeling all in your feelings, but a certain BEST FRIEND is making you see reason, and maybe you'll be okay. So damn rude. @USER",1
"""Alexa add small bananas to the shopping list."" I've added smooth armours to your shopping list."" Gee thanks Alexa! alexa",1
sure you have a paying job but are you a Silver Chick Fil A Rewards member?,1
"I love giving my students little bits of info and watching them get woke one made a comment about being afraid to tell people when she’s suicidal because of the large ER bill her family got last time, and I told her about countries with free healthcare and her mind was blown",0
The control button just fell off my laptop. How symbolic for my life.,1
"In case anyone needs to hear this today: trans people are valid, trans women are women, trans men are men, trans non-binary and gender non-conforming people are v a l i d, autistic people are *not* confused and they are also valid. Have a nice day.",0
Remarkable how little some of us will leave behind,0
Just had a flashback about a boy and nearly threw up in my mouth,1
so @USER really knocked it out of the park on this album. there are not enough words that can describe how much i love BILC. i could spend forever inside of it,0
It's soooo great that I've taken pain medication and my back is still hurting,1
"Day 3. Luggage arrived, thanks @USER. Non random Hungarian underwear. Talk delivered. Science sated. metaxa HTTPURL",1
"""I'm concerned about the environmental impact of my contact lenses,"" says the occasional daily wearer, throwing their Starbucks cup in the test room bin.",1
Sometimes I'll wake up earlier than usual so that I can have even more time to lay there doing nothing until I'm late for work.,0
Love everything in my basket selling our before the sale was meant to start @USER @USER,1
It’s the hypocrisy for me,0
McflyAllAboutUs got me right in the feels ️,0
There is nothing wrong with showing concern when the next second in command of the free world has no respect for minorities boycotthamilton,0
@USER @USER Has he given any clarification regarding what age Harvey Elliott needs to be before you can tackle him?,1
"At least I'm used to this side effect from my infusion, and I'm very grateful that I'm not experiencing any of that full body pain I had after my last infusion. The IV steroids must be working!! And tomorrow is day one of a steroid pack",0
I’ve honestly been dreading the return to school (no matter what form it takes) for the first time in my career. Hearing @USER speak tonight with @USER changed that. I feel fired up! Thank you both!,0
'but that's different' is never a valid argument,0
South Park being taken off Hulu is the worst thing that’s happened to me personally in 2020 and like.. my dad died,1
I deeply regret downloading tiktok.....yet not at the same time,0
another week really does start tomorrow...,0
"Today has been a good day, I didn't fall off a ladder, my model train show tickets came, I got mentioned on @USER, they liked my bostocks cup recommendation, and more importantly, they got my name right! Hurrah.",0
"Anyone at @USER for @USER and think the sound is crap? Paid a fortune for this, sort it out! wembleystadium fleetwoodmac",0
"Funny Quote of the Day: ""I believe in luck: how else can you explain the success of those you dislike?"" - Jean Cocteau",1
what a great day to be stuck inside,1
the way piers morgan defenders will say that freedom of speech is dead as if piers didn’t have the freedom to spout nonsense about meghan markle for years. i’m afraid what he’s experiencing now are these little things called consequences piersmorgan,0
Second hand embarrassment for anyone that actually queued to get into a nightclub last night,0
"I hurt my foot like 3 days ago, I have no idea how, but it hurts to put pressure on it. Love that for me",1
