text,label
@user thanks for all your help Giles,1
@user I am procrastinating on getting work done b/c I am reading your new book!,1
@user but they put it in soaps and shampoo! It's healthy!,1
Thank u to all u beautiful ppl that talk extra loud when I'm trying to watch tv I love you guys so much #srslyofALLrooms,1
@user It's no longer political.@user is setting the stage for all out race war.That is his only way he can succeed.,0
#mondaymorning pouring rain and i am singing 'the most wonderful time of the year' as i walk to the office,1
It's nice to see continuity in our gender struggles.,1
True http,1
Getting damage control advice from Rush?,0
"Pips who drop out of school n have Kirya as 'eir role model tht ey wana sing too..guy spix Portuguese,French,english...#Not a school dropout",0
"&gt;$7,000 fine It's insane that one of the largest businesses in the world would refuse to pay this, but it's Walmart.  Is anyone surprised?",1
Staying #casual #monday #funday #ootd #fashion #style #allyouneedisstyle #todayimwearing http,1
"If the government is shut down for a week, it should automatically trigger dissolution of congress, an emergency election and a CR for the time between dissolution and the new election.",0
My life on a daily basis #notreally #lcsbeauty #followme #lblogger http,0
@user 1/5th. Just like in the real world!,1
That's comfortably the most stonewall penalty I've ever seen.. What are these refs on? #hadone #Stoke,0
I work in front of laptop for 8 hours a day and suffer terrible dry eye. #bloodshot #eyerony,0
"I shun the workplace chit chat, to look at what happening on twitter #randomtweet",1
@user gay but I bang that,0
"HaHaHaHa!! #hypocrisy ""MT @user: Katie Hopkins calls Russell Brand a bully...: http",1
Maybe he should create a National Board of Journalism Teachers and give himself accreditation so he can flunk them anyways.,1
Is there even math cells? if there is they're not working ahhh hahaha #mathisfun,1
I feel so blessed to get ocular migraines.,1
"Oh look, a right-wing blowhard is talking out his ass.  Must be a day that ends in ""y"".",1
Tomorrow is the day I'm coming back to Florida for good ... :( unless something changes in the next 24hrs which I doubt #ready,0
Just now layin down to go to bed. College is great guys. It doesn't stress you out or keep you up at night at all. Or make you cry.,1
"happy birthday to my boo @user love you, have a great day! http",0
Hope is not a strategy.,0
"Walking down the mall in front of a group of guys and hear ""even the momma got it"" Jesus lol everyone loves polly",0
Walking to school is so awesome,1
The people at Ifixit must be getting a bit miffed that someone has already done their job for them.,0
Most useful algorithm I've learned in class so far is finding a substring by using the fast fourier transform,1
Literally functioning on 4 hours of sleep and I feel great !! #Not #CollegeisKillingMe #OneMoreWeek,1
@user Frisky at 2am? That's nothing new.,0
At least I don't have to clean the floor,0
I liked a @user video from @user http 2015 Challenge! Style By Dani,0
"@user @user This sounds high, but is safe for short term use. It dramatically increases antimicrobial peptides in the blood.",0
Isn't the point to learn how to craft our own reality? What am I missing here? Should we not be different? #wat?http,0
#forgive #others #not #because they #deserve #forgiveness #you #peace love this from @user #words #wisdom ... http,0
@user Please give me a Follow Back.,0
Such a good lie in,1
Carphone Warehouse call centre employees are such classy people @user,1
My body refuses to sleep. #fucccck,0
Can almost smell the turkey #hungry,0
@user @user what's going on with sharks hair? Looks like the council has cut it,0
"A strange day so far everyone seems in such a good moodmaybe in actually napping or still drunk ""still time for grumpy to return",1
@user @user so glad I bought a diesel car 2 years ago,1
Eating sweets in PE,1
... Can#do#no#more#not#usually#a#quitter#only#so#much#can#be#thrown#at#me!,0
"@user if aguero is out for a long time, city could buy bony in January!",0
Hah...  You think Canada has strict regulation of the Financial sector...  adorable.,1
Welcome to the wonderful world of Regulatory Capture - it will only get worse as the years pass.,0
@user ugh... painful for sure. can't win em all I spose... but you shouldn't ever look like that.,0
"If you drag yesterday into today, your tomorrow cannot be what it was meant to be. Let. It. Go. #BringOn2015",0
They would probably drop through the floor if men weren't permitted to drive instead.,0
Hanging out with my niece all day jokes,0
Just gave Imperfecto a 3.5/5 rating on @user http,0
"To all those who held back in #2014 start again in #2015 as.. ""@user: It's never too late to start! http",0
@user No reasons given. Some waited expecting a call but only found they were not chosen from media announcement,0
Parking meter obviously forgot to get its own parking ticket. http,1
We may be some time. #Hibernot #Not http,0
#np #NowPlaying #NowListening #Music #Don't Let Her Pull You Down by #New Found Glory from the #album: #Not With... http,0
"I'm in the back chilling for now on , if I don't keep it contact with you or hit you up don't get mad I'm just on some other shit",0
"Migrains,, throwing up are always fun",1
And seeing the light on the current drug policies.,0
Putin praising Constitutional Court for defending against 'arbitrary action on the part of the government http,1
Did #lyntoncrosby invent #CameronMustGo ? Puerile attacks on @user in RW press provoked #webackEd which led to #CameronMustGo,1
[I am shocked! ](https://www. youtube. com/watch? v=nM_A4Skusro),1
@user I think that was the joke.,1
@user @user @user Missed off the hashtag?,0
Nothing better than getting a snapchat from @user with #the weight playing in the background #sameparents #sametunes,0
This 'legendary' anfield European cup atmosphere is great hey! ;-),1
@user Joke of the year congrats! #Kuivaa :/,1
You're never too old for Footie Pajamas. http,0
@user yeah me! I should get a more active social life and get away from the internet...,0
"Some are really loving the criticism on Zoella. Let it rest, please. I wonder what you would do for some £££.",0
The @user moderation queue is flushed once every one planet Miller hour!,1
I can't wait to go to the post office to get bent over with $100 shipping fees to mail my folks' #Christmas gifts to Montana.,1
"amazing how they are the one doing the ignoring, and think they are set free @user @user @user",0
"Check out> @user¢â""¬Â¦music that makes you feel something. #London #UK",0
"Just as the microphone fails: ""If we were having this conversation 100 years ago..."" @user #WebRTC #WebRTCParis",1
The of how worst films become must see #films: http,1
@user @user: Thats quite an interesting number coz I managed to read only 17 but i will surely make it in #2015.,0
@user @user @user @user @user @user @user fuck it mite just warch eastenders,0
Trying to eat crackers on the quiet floor likeee.. Maybe if I chew slower no one will notice..#not,1
"@user you guys sure screwed this up royally. I'm happy for Lester, the brain trust over there sucks. #nicejob #LesterToChicago",1
Please snow let us get out of dance early,0
