text,label
The only thing I got from college is a caffeine addiction,1
I love it when professors draw a big question mark next to my answer on an exam because I’m always like yeah I don’t either ¯\_(ツ)_/¯,0
Remember the hundred emails from companies when Covid started getting real? I’ve gotten three in regards to support for protests. And only @USER shared helpful links and actually said black lives matter... we love capitalism,1
Today my pop-pop told me I was not “forced” to go to college okay sure sureeee,0
"@USER @USER @USER I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.",0
"@USER I choose to interpret it as ""XD"": the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch.",1
Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding ?? @USER,1
someone hit me w a horse tranquilizer istg ive been in a pool of sweat for 6 hours and i havent slept im so tired but i love my friend so much and oh my fucking god i cant rn,0
Loving season 4 of trump does America. Funniest season yet DonaldTrump Trump MAGA MAGA2020,0
Holly Arnold ??? Who ImACeleb MBE nope not sure oh hang on you mean MBE yes that’s her !!!,0
"ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED, CRUSHED I TELL YOU. HTTPURL",1
See Brexit is going well,1
Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy. Slow the fuck down,0
do i just blast maneskin to get hyped for my osce or??,0
"@USER @USER Yes, because we need literally every single fucking celebrity to speak up on a topic that's been forced down everyone's throats for the past four months. I use the internet to get away from these fucking real life problems; not everyone needs to weigh in.",0
"I never thought I'd say this, but I have become one of those people who like bounty bars.",0
My eldest is having a wild Friday night out. She's going to bingo.,1
"Whoever’s toddler ass sprayed the entire toilet backstage, I hope you stub your toe and bite your tongue really hard. also you were clearly dehydrated, go drink some damn water like an adult",0
gaslight gatekeep girl boss,1
I was only in Taylor Swift’s top 0.10% of listeners on Spotify but last year but yeah totally sound that Swiftogeddan in Glasgow is sold out,0
Imagine going to university for 4 years when you could just follow Elon Musk on twitter for free,0
"Not got one lynx Africa for Christmas Day this year, shocked and outraged. RuinedChristmas",1
The villains in super hero films are awfully polite. They always confine their invasions to being above one particular city,0
Oh my goodness. It’s the first week of the summer holidays and Harrison has found his recorder. Give. Me. Strength.,0
"@USER imagine your delivery being 2 hours late, and imagine calling up your service team only for them to hang up at 10pm, coincidentally the same time the office closes. But it’s okay, my £3 delivery fee is being refunded though",0
teams is down what a shame I can’t do my assignments,1
@USER @USER Well I doubt they're trying to smash the doors in to change the regulation of cough medicine.,0
Not at all concerning that a man's just been round to fiddle with the boiler and now he's left the carbon monoxide alarm won't stop beeping,0
Not telling anyone how I voted in case it doesn't come true EUref,0
just wondering how to get my diss down by 1500 words .. such fun,0
It’s been a blissful 2.5 hours of sleep tonight,0
Falling asleep at your laptop is always fun,0
Trying to know all this history tonight is gonna kill me,0
love it when Jonny makes me use earphones to watch something on my phone so he can play fifa,0
Nice to be compared to a brick wall,0
