text,label
The only thing I got from college is a caffeine addiction,0
I love it when professors draw a big question mark next to my answer on an exam because I’m always like yeah I don’t either ¯\_(ツ)_/¯,1
Remember the hundred emails from companies when Covid started getting real? I’ve gotten three in regards to support for protests. And only @USER shared helpful links and actually said black lives matter... we love capitalism,0
Today my pop-pop told me I was not “forced” to go to college okay sure sureeee,1
"@USER @USER @USER I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.",1
"@USER I choose to interpret it as ""XD"": the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch.",0
Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding ?? @USER,0
someone hit me w a horse tranquilizer istg ive been in a pool of sweat for 6 hours and i havent slept im so tired but i love my friend so much and oh my fucking god i cant rn,1
Loving season 4 of trump does America. Funniest season yet DonaldTrump Trump MAGA MAGA2020,1
Holly Arnold ??? Who ImACeleb MBE nope not sure oh hang on you mean MBE yes that’s her !!!,1
"ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED, CRUSHED I TELL YOU. HTTPURL",0
See Brexit is going well,0
Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy. Slow the fuck down,1
do i just blast maneskin to get hyped for my osce or??,1
"@USER @USER Yes, because we need literally every single fucking celebrity to speak up on a topic that's been forced down everyone's throats for the past four months. I use the internet to get away from these fucking real life problems; not everyone needs to weigh in.",1
"I never thought I'd say this, but I have become one of those people who like bounty bars.",1
My eldest is having a wild Friday night out. She's going to bingo.,1
"Whoever’s toddler ass sprayed the entire toilet backstage, I hope you stub your toe and bite your tongue really hard. also you were clearly dehydrated, go drink some damn water like an adult",1
gaslight gatekeep girl boss,0
I was only in Taylor Swift’s top 0.10% of listeners on Spotify but last year but yeah totally sound that Swiftogeddan in Glasgow is sold out,1
Imagine going to university for 4 years when you could just follow Elon Musk on twitter for free,1
"Not got one lynx Africa for Christmas Day this year, shocked and outraged. RuinedChristmas",0
The villains in super hero films are awfully polite. They always confine their invasions to being above one particular city,1
Oh my goodness. It’s the first week of the summer holidays and Harrison has found his recorder. Give. Me. Strength.,1
"@USER imagine your delivery being 2 hours late, and imagine calling up your service team only for them to hang up at 10pm, coincidentally the same time the office closes. But it’s okay, my £3 delivery fee is being refunded though",1
teams is down what a shame I can’t do my assignments,0
@USER @USER Well I doubt they're trying to smash the doors in to change the regulation of cough medicine.,1
Not at all concerning that a man's just been round to fiddle with the boiler and now he's left the carbon monoxide alarm won't stop beeping,1
Not telling anyone how I voted in case it doesn't come true EUref,1
just wondering how to get my diss down by 1500 words .. such fun,1
It’s been a blissful 2.5 hours of sleep tonight,1
Falling asleep at your laptop is always fun,1
Trying to know all this history tonight is gonna kill me,1
love it when Jonny makes me use earphones to watch something on my phone so he can play fifa,1
Nice to be compared to a brick wall,1
@USER Blizzard will have to make sure it doesn't exceed the recommended fun level of 10%.,1
if 2020 was a nose it’d be mine,1
Would anyone like to give me some money? FinDom,1
Got very excited that my national trust card arrived I am officially a grandma HTTPURL,1
Vaccinated this morning. Not sure it's worked - still committed to Apple and no extra autism detected. Bloody science.,1
ITS COMING HOOOOOME,1
i wish i could tap in to the government bank account,1
90% of adulthood is just refilling your Brita pitcher.,0
"I suppose though, we did sign one for the future so, you know, not all gloom and doom...we might be good in 6 years time.",1
Where is the Chancellor? Please check the back of your sofas.,1
"i have been informed that, as aroace and agender, i have triple visibility and am now visible from space.",1
going to be running on three hours of sleep at work tonight! so excited!!!,1
"@USER @USER @USER Does he order 11 at once and drink each one at just over 5 minutes, OR do we have to take into account going to the bar? Either way it’s a disgrace and not what we should be promoting to the kids.",1
i’m now reading 4 books at once what could go wrong,1
"@USER I think lunch was ready at the care home, then it was time for nap and then Countdown.",1
@USER @USER Very good. Just need to work on your spelling now,1
