text,label
Anyone else hear some like thunder or something?,1
how do I get my boyfriend in a maid costume?,0
gaslight gatekeep girl boss,1
love seeing that my mom has officially started posting about the horse worm medicine being good for covid actually and they’re just trying to make it look bad bc it’s so cheap,0
Efy is great,1
when the toilet seat is warmed up for you&gt;&gt;&gt;,1
i wish i could tap in to the government bank account,0
really honoured to have shared a coach today with a group of girls who didn’t know downing street was real and thought the prime minister and the queen lived together at buckingham palace,0
Sitting next to the world's loudest mouth-breather on the first day of class did a really good job of demystifying grad school for me today,0
"""I'm concerned about the environmental impact of my contact lenses,"" says the occasional daily wearer, throwing their Starbucks cup in the test room bin.",0
Mental shoot out ends. Silent pause. Sirens start Always so perfectly timed LineOfDuty LineofDuty6 LOD6 LOD,0
@USER This aged well,0
“If I could have changed anything about my childhood I would have never watched spongebob” -no one,1
did you know there is a direct correlation with how cool someone is and how high they cuff their pants?,0
@USER @USER Cade Cunningham is my favorite basketball player please 2K,0
A fun musical mashup is the country music playing at the gym with the one guy playing old Eminem on his phone at full volume in the locker room shower,1
Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding ?? @USER,1
it's all about women in stem struggles. what about women in interactive media struggles: i no longer win against my friends in smash because they major in goddamn video game.,1
In sunny spain at the moment!!! Hows it all in england?,1
hey quick question is it fall or spring???,1
nothing quite says hello 2020 like hypothermia,1
I love how men know they have a baby on the way in one month and they decide to go out and buy a brand new mustang wow,0
I'm just living off salads and yogurt and loving it tbh,1
help! i'm being haunted by dead people! (my dissertations),1
"My PS4 Pro has P.T on it, which is somewhat funny as it was taken down before the PS4 Pro was even released konami PT SilentHills Spooky PlayableTeaser Kojima",1
Just getting some WD40 on my letter box to help the poor postman with his delivery today valentinesday2021 WD40,1
Drop in Center to let people get the 1st or 2nd Vaccine open today . I went thinking I was able to get my 2nd one . Wait in the que 30 mins .sits down arm ready to get ! Sorry your 12hrs to early !!! We cannot vacinate you till 56 days !!! @USER Seriously,0
"Ah yes, back spasms when I take a deep breath. This is 28.",1
All the shade i have been hearing about Ben Platt being unbelievable as a teenager in the @USER movie boggles me. Does nobody have any memories of Grease??? Name 1 actor on that film who believably looked high school age!,0
"Whoever’s toddler ass sprayed the entire toilet backstage, I hope you stub your toe and bite your tongue really hard. also you were clearly dehydrated, go drink some damn water like an adult",0
"ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED, CRUSHED I TELL YOU. HTTPURL",1
@USER Easily one of the worst and most damaging takes for both trans AND cis women I have seen thus far. Congrats on reaching new levels of awful lmao,0
Nice to be compared to a brick wall,0
The only thing I got from college is a caffeine addiction,1
I feel like with the pandemic and all we should now be allowed to publicly shame babies for just like coughing into the open air you know what I mean,0
Good morning September... Hello tonsillitis :(,1
"Oh good, it's time for the bi-monthly random power outage.",1
i would rather be outside reed timmers car in f3 tornado winds than go to work today,1
Lil Pump is the Nelson Mandela of our generation,0
"the audacity of the neighbors to mow the lawn while i'm trying to sleep, at 6:30pm",0
My eldest is having a wild Friday night out. She's going to bingo.,1
is this an earthquake because i am shook right now,0
"oh also, my song with my middle school boyfriend was “143” by Bobby Brackins!! i really peaked geez",1
"Ah yes, it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis HTTPURL",1
watching olympic womens beach volleyball for the plot,0
Just gotta realize no ones interested in what I have to say,0
"You know what makes a 15 minute wait for the bus even better, rum leaking all over the contents of your bag",1
"@USER it’s true, every time my little cousins put on their masks they choke to death and have to be revived. it’s very stressful for us.",0
Social Care for the young is basically a bath board and bed rest and your done.,0
"@USER @USER @USER I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.",0
Hailey convinced Tayler that putting a spoon in the microwave to scoop ice cream faster was a good idea,0
Beautician and the Beast (1997). Best Timothy Dalton film of all time.,0
being single during college must be really fun when ur nOT IN A GLOBAL PANDEMIC,0
absolutely love waking up to the fire alarm at 7 am,1
considering crowd surfing the next time the hallways are too packed,1
@USER one of them smonks weed so it's super worth it /s,1
"Fav this and I won't send you a name of a random person, I'll just get a fav on my tweet",0
i love when i respond to my professor immediately after she emailed me and i still haven’t gotten a response :)) (it’s been almost 4 hours) :)),0
What kind of sins have y’all been committing for God to punish us with this kinda weather...,1
Taxes are just the best and I cannot wait to pay more,1
there’s no better way to wake up than having one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed.,1
"@USER red among us guy, hes hot dont come for me",1
Wow Bdubs can bench press 150 kilometers,1
good evening sharks. hooters but for feet.,1
I get a lot of boy who cried wolf vibes from the Red Cross and their emergency blood shortages all the time,1
i hope u sleep maybe forever maybe not lol,0
"ah yes, of the course the summer rain pours when im on foot.",1
do i like him or is his hair just curly??,0
omg there’s a sheet of ice in front of my school. should I slip and fall?,1
@USER you can copy mine,0
"Incredible scenes in Nottingham, as it begins to rain for the first time this hour.",1
tiktok's full name is tictactoetok,1
Pregnant and constantly crave KitKats. I literally have been living off of them for the past 4 months. @USER,1
"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock, and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest, most enjoyable start to any workday.",1
alright I’m ready for some march madness,1
@USER @USER buy really rare pokemon card,0
@USER Her family should definitely not seek mental health guidance.,0
I’ve seen a lot of people on local Facebook groups asking AirBnB owners if they have any availability recently. If only there was a website you could use to find out if an AirBnB was available,0
only have to physically be in uni for an hour a week looool mmmm take my 9k xxxxx,0
Just rediscovered that my nose is always in my field of vision so I will unfortunately be dropping out as I cannot continue my assigned readings in peace,0
Can’t wait for those $2000 checks to go out immediately,1
Remember the hundred emails from companies when Covid started getting real? I’ve gotten three in regards to support for protests. And only @USER shared helpful links and actually said black lives matter... we love capitalism,1
What a wonderful time to have your AC go out HTTPURL,1
Tinnitus is my favourite thing ever I love it. So loud so atmospheric HTTPURL,0
If I were the Red Sox I would simply play the Orioles more,0
@USER @USER @USER @USER @USER Finally someone is speaking up for the billionaires.,0
"i love how i literally just finished watching the fifth hp film and then turned to my mum and said ""love a good bit of character death on a sunday :)"" the dsmp lore has utterly ruined my attachment to characters and how i see stories now. i am a broken woman.",1
haven’t written in months cuz there are no male teachers to impress,0
Love it when someone buys a £175 coffee machine in Paris with my debit card,0
The control button just fell off my laptop. How symbolic for my life.,0
"North Dakota: *has one decent week of weather* Mother Nature: NOW I SHALL CAST OUT THE SUN AND BRING THE COLDEST OF RAINS UPON THY SUPER, DUPER FLAT LAND.",1
teams is down what a shame I can’t do my assignments,1
90% of adulthood is just refilling your Brita pitcher.,1
if you display your pop funkos in the box then you’re a tory,0
"@USER I choose to interpret it as ""XD"": the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch.",1
V excited to grant an extension to students who email me and my co-teacher and get both of our names wrong,0
"Goodness my parents are actually watching something on Apple TV+, brilliant, yet another streaming service!",1
"""coping strategies to help with tinnitus and hearing loss: see a doctor!"" Wow thanks internet",1
@USER If only he had a press Corp in the house...oh wait! Shut up Jr! Time to get fitted for those lovely orange jumpsuits! If you can't be orange anymore at least you can wear it!!!,0
"hello to all three of my followers, this is my big return to twitter",0
I really hate the new TikTok voice over voice - she sound annoying af,1
also if u met dream on hypixel.. congrats ! im not jealous at all haha im totally normal haha Good For You .. haha,0
6 more hours and then a whoppingly massive 2days off work! wowzers!,1
My living room feels really lively now. I’m recklessly sipping tea absorbing choons TaeSup,1
yo @USER do yall do hysterectomies?,0
ITS COMING HOOOOOME,0
if trees would simply stop producing flammable leaves climate change would not be an issue,1
I don't think Republicans have any self awareness or any idea of how the world works... Nice try though.,0
Big day in the Mumford house sports day,1
Schadenfreude x,0
every time i send my mom pictures of me and one of my friends doing fun things the first question she asks is if we're on a date what are you trying to tell me mother,0
Hot dog eating contest as a form of assisted suicide,1
Petition to call erections social dickstanding,1
The high tomorrow is 45! Anyone wanna go to the pool?,1
@USER @USER worst timeline,0
"Lucky for 2nd placed Brentford that there's no stand out team like Leeds this year, or they might have no chance of winning the league. ncfc",0
watching tik toks at full volume in the middle of the airport should be a federal offense,0
Every time you complain about neopronouns or xenogenders we add five more,0
@USER Reviewer 2: this is a very weak paper that fails proof of concept. Stating a cat bed is also a wizard's hat is totally wrong and your data cannot support this,0
The numbers talking to me!,1
"finished the queen's gambit, i loved a look into the 1960s in the american south with no racism just vibes",0
Woke up at 3 am with a MAD craving for pickles. I guess that means I'm expecting!,1
"I’m sorry, but if you message me on Instagram wanting me to help you sell your fit tea and wraps, I’m leaving you on read.",0
July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far. Can’t wait for part 2. murderhornets,1
I'm the highest I'll ever be on 420 in my life! I'm on an airplane duh,1
"Duodenum, Jejunum, and Ilium would be cute names for triplets, don’t @ me",1
@USER You should know a true Oregonian doesn't use umbrellas!,0
a level tudor history can do one,1
I would do so much for people that would do absolutely nothing for me lol at least i know who my true friends are,0
"not to brag, but my thesis topic was so good that someone else published on it three months ago",0
"""are you experiencing suicidal or homicidal ideation?"" ""only while trying to talk to a human when I call @USER pharmacy""",1
See Brexit is going well,1
STOP TREATING MARS LIKE A BACK-UP BOYFRIEND JUST FIX YOUR CURRENT RELATIONSHIP WITH EARTH BECAUSE YOU CAN'T LIVE HERE.,1
"So, a country that is trillions in debt, with numbers approaching 13 million on surgical waiting lists and hurtling towards facism regime, is talking about rescuing people from a facist regime?",0
When I grow up I wanna be a sociopath,0
Most people have security cameras for protection. Ours acts as a DVR,1
"Heard a rumor that Baja Blast is coming to stores and regardless if anything else I hope for in life falls through, at least I'll have this.",0
it’s always the girls I don’t even know that wanna talk about me 24/7 :) I love my fans :),0
2 minutes into the book and I already hate the main character. Lovely,1
too many dudes are wearing birks with socks on. grow up. get the fucking toes out man.,0
Having morning sickness when you're not actually pregnant is all the fun,1
