text,label
Been trying to get my boyfriends attention. Let’s see how long it takes for him to see this tweet tho.,1
"Nothing screams “I’m a glamorous cosmopolitan woman” like following your dog down the street in the midst of winter, saying “go potty! Go POTTY!” over and over again.",1
"Ah yes, another afternoon with the WiFi down...really makes working from home that extra bit more enjoyable :)",0
if jesus was resurrected again i would vote for him,1
when the toilet seat is warmed up for you&gt;&gt;&gt;,0
"Ah yes, back spasms when I take a deep breath. This is 28.",0
"@USER red among us guy, hes hot dont come for me",0
I get a lot of boy who cried wolf vibes from the Red Cross and their emergency blood shortages all the time,0
Anyone else hear some like thunder or something?,0
my bf took my off his lock screen which obvi means he’s cheating on me,1
does ur dad hate you for no reason or are you normal?,1
Got a bloody screening invitation for a massive film - YES THAT ONE YOURE THINKING OF - and both screenings are on school days tempted to quit teaching tbh,0
My living room feels really lively now. I’m recklessly sipping tea absorbing choons TaeSup,0
i love 6 hour panic attacks,1
being single during college must be really fun when ur nOT IN A GLOBAL PANDEMIC,1
No longer a female as I refuse to wear heels ever again,1
"Leave it to the nice people of Hutch to yell at me to ""eat shit"" while I run. Jokes on them, I do.",1
You know the wolves match is boring when you're talking with your mate about the best way to wire up his new shed!,0
"Goodness my parents are actually watching something on Apple TV+, brilliant, yet another streaming service!",0
"At least half of my days are still bad days and let me tell you, i've never once killed 8 people because of it. A true miracle apparently",1
@USER Ok so when does the anger and bitterness start? Just so I can prepare properly…,1
next person that puts beomsil on my tl has to deal w me crying on the floor,1
Well. That went well. BelgianGP,0
"If your website still has a google plus share button, forgive me if I’m not tripping over myself to take your information as credible or current.",1
Just disposed of a dead opossum. Good morning!,0
Only a a President as strong and decisive as @USER would force the FDA to OK a drug even before clinical trial results are in. No need to wait for such silly formalities - people have been taking the drug for years and most are still alive and fine! OkToTry Gotrump HTTPURL,1
absolutely love waking up to the fire alarm at 7 am,0
Petition to call erections social dickstanding,0
2 minutes into the book and I already hate the main character. Lovely,0
cold queso is so much better than warm queso HTTPURL,0
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Yeah just a coincidence that infection rates go up and down dependent on when students are in the area or not, also tallies in with the parties being attended by up to 3 times the amount of allowed attendees. Definitely not students ‍️",1
I really hate the new TikTok voice over voice - she sound annoying af,0
"I heard it might be snowing ??? Sounds fake, but okay??? Can anyone verify?????????",0
yeah i enjoy some oregano on a nice pasta dinner (dumps oregano on mac n cheese),0
"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.",0
"if you see me crying in the self-service car wash in my rosati’s uniform, no you didn’t ️",1
"""@USER: FLORIDA YOU LITERALLY HAVE ONE JOB""",0
"Someone in the pub just described the England team as ""a bunch of Marxists"". Makes you proud doesn't it?",1
Drum and bass is dangerous stuff don't you know.. FabricReview,1
90% of adulthood is just refilling your Brita pitcher.,0
When you get woken up at 3am because of aftershocks from an earthquake,0
People who think cancel culture goes too far never learned about excommunication,1
"i love how i literally just finished watching the fifth hp film and then turned to my mum and said ""love a good bit of character death on a sunday :)"" the dsmp lore has utterly ruined my attachment to characters and how i see stories now. i am a broken woman.",0
remember when everyone’s feeds were just retweeted giveaways looool those were the days,1
teams is down what a shame I can’t do my assignments,0
Perfect way to end a 2+ hour @USER deley: getting stuck on the tarmack at @USER waiting to go to a gate for almost an hour,1
"@USER @USER @USER I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.",1
"Don’t keep up with the Joneses, the Joneses are broke!",1
Enjoy the bars and vineyards Make sure to send postcards to the people dying in your local hospitals. I’m sure they’ll be glad you’re not bored anymore,1
I reverse imaged searched a selfie and it under visually similar images it is exclusively asian woman my am I white passing narrative is quaking,0
"Afghanistan just completely crumbling after spending over 2 trillion USD and 240,000 human lives over the course of 20 futile years of American occupation sounds amazing in theory, sure. But how are we gonna pay for it? What’s next, chocolate milk for everybody?",1
"@USER ""But it's a deterrent""",1
yo @USER do yall do hysterectomies?,1
Drop in Center to let people get the 1st or 2nd Vaccine open today . I went thinking I was able to get my 2nd one . Wait in the que 30 mins .sits down arm ready to get ! Sorry your 12hrs to early !!! We cannot vacinate you till 56 days !!! @USER Seriously,1
"Both kiddos have a cold I don't feel good and now I think my oldest is having stomach issues, oh what a fun night!",1
i love ingesting poison and then wondering why my tummy is rumbling the next morning,1
Between Mikey cooking and Didi cooking for me I relaxing cooking?? I don’t know her,1
What happened to unbiased journalism @USER?,1
Boehner not clapping for gender pay equality. COOL.,1
"""are you experiencing suicidal or homicidal ideation?"" ""only while trying to talk to a human when I call @USER pharmacy""",0
We get it ESPN. Sawx and Yanks. Let's go meteor.,1
I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,1
Kind of rude of my stomach to still make whale noises after I’ve given it a whole protein bar,1
what i love about mine and summers work schedules is that she will finish at 8pm and then i’ll start work at 9pm and then when i get home at 7am she’ll start work at 8am ️,0
V excited to grant an extension to students who email me and my co-teacher and get both of our names wrong,1
Just nearly cried in the tesco express because they didn’t have the cheese pizza or the back up pizza I wanted. My mental stability is strong today.,0
Can’t wait for those $2000 checks to go out immediately,0
if trees would simply stop producing flammable leaves climate change would not be an issue,0
"Incredible scenes in Nottingham, as it begins to rain for the first time this hour.",0
Love it wen people try and stop my friends seeing me! Looooolll.,1
"Heard a rumor that Baja Blast is coming to stores and regardless if anything else I hope for in life falls through, at least I'll have this.",1
tiktok's full name is tictactoetok,0
"Packing to move house, and currently wondering why I had to pick such a heavy hobby? Like, why did I have to pick reading? Books are so heavy, my back hurts. Why couldn’t I have picked knitting? Yarn is light",0
Taxes are just the best and I cannot wait to pay more,0
The fact I nearly froze on my way to work this morning is definitely a sign it's not summer anymore freezing,0
"Lucky for @USER , only MVPs get tossed for those kinds of fouls 76ers ATLvsPHI hawks NBAPlayoffs",1
alright I’m ready for some march madness,0
"Stimulus checks should come with hand lotion, a face mask, and a bonus for every Instagram bingos you do",0
I'm literally out here trading eggs for potatoes Day 1 in our new dystopian society is going well coronavirusUK coronavirus,0
Why are the side effects of antidepressants so scary,0
"Lucky for 2nd placed Brentford that there's no stand out team like Leeds this year, or they might have no chance of winning the league. ncfc",1
Happy birthday to me!! I’m 30!,1
@USER Defrost the freezer with the cast of Hollyoaks. Any of them that wanted an extra fun trip could pop to the recycling centre with some empty pesto jars. Magic.,1
School psych life if fun because you can feel like complete shit but chances are you have meeting that determines changes in a student’s education that’s bound by legal timelines and took coordination of 6 different schedules and you’re the only one who can run it,0
Who's ready for monsoon storms allllll weekend?!?!,0
my favorite gay drama is the social network,1
Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy. Slow the fuck down,1
@USER @USER absolutely no response from Luna Cinema and my completely factual review on See Tickets has been moderated and will not be published great to see @USER looking out for their customers. Excellent customer service all round,1
Shout out James Boswell unibowl,1
"@USER Yes, because we really have that sort of power. Why do brexity types always sound like they are all paranoid conspiracy therorists?",1
Big day in the Mumford house sports day,0
"our lord and savior, frank ocean, has saved us all once again.",1
WHO LET THE LAUNDRY PILE UP 5 BASKETS. Goodness.,1
Day 3 of night shift: “Can I get a triple shot puppuccinio?”,0
What a wonderful time to have your AC go out HTTPURL,0
"You know what makes a 15 minute wait for the bus even better, rum leaking all over the contents of your bag",0
My favorite part of flying is getting to walk past the rich people to get to my poor person seat.,0
Brother's off on a night out and I've gone to bed cos I feel exhausted and sick.... excellent,1
"@USER @USER Ahh yes, quick peek at your page and you obviously know everything. Thank you for the enlightenment.",1
"It was almost 70 degrees today but no, global warming doesn't exist",0
Efy is great,0
"@USER I think lunch was ready at the care home, then it was time for nap and then Countdown.",1
The only thing I got from college is a caffeine addiction,0
"Here comes the final of the UK DailyBriefing - who will win, Johnson or Covid?",0
"No joke, air-fried Twisted Teas are THE BEST.",0
@USER Riveting news.,1
Hot dog eating contest as a form of assisted suicide,0
"ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED, CRUSHED I TELL YOU. HTTPURL",0
Avoid mass gatherings.. does this mean that I can stay home tomorrow as I work at a school? No I thought not. schoolclosure,0
Good news: Played out of my mind from the sand traps today. Bad news: Was in the sand traps a lot today.,0
omg there’s a sheet of ice in front of my school. should I slip and fall?,0
I love giving a lecture to grad students on a topic I don't fully understand at 9:30am &lt;3 i need a coffee lmao,1
"Let me guess, it has to be Charlotte Tilbury makeup. And if by chance you do take it off, use Charlotte Tilbury skincare HTTPURL",1
"My PS4 Pro has P.T on it, which is somewhat funny as it was taken down before the PS4 Pro was even released konami PT SilentHills Spooky PlayableTeaser Kojima",0
watching tik toks at full volume in the middle of the airport should be a federal offense,1
I may look happy on the outside bit on the inside I'm dying painful sad,1
hot girls have tree shaped dents in their rear bumpers ️,1
"ah yes, of the course the summer rain pours when im on foot.",0
we used to make fun of rich men for using 3in1 turns out they were never using anything at all,1
I called out an insta post for fat shaming and am now being told that making fun of someone having no neck is “not making fun of someone’s appearance” !!! The more you know guys!,1
no more instagram. we must all return to scrapbooks.,0
It's been a productive last day. Maxed Out all my credit cards in preparation of my Rapture tomorrow!!! iwishwehadallbeenready,1
Good morning September... Hello tonsillitis :(,0
"@USER @USER Do you really believe that? I'd put more faith in the giant pumpkin. Wait a minute, he is the giant pumpkin!",1
"the audacity of the neighbors to mow the lawn while i'm trying to sleep, at 6:30pm",1
it’s so rude that i’m not at the beach right now,0
i would rather be outside reed timmers car in f3 tornado winds than go to work today,0
"Ah yes, it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis HTTPURL",0
Wow Bdubs can bench press 150 kilometers,0
Vaccinated this morning. Not sure it's worked - still committed to Apple and no extra autism detected. Bloody science.,1
"oh also, my song with my middle school boyfriend was “143” by Bobby Brackins!! i really peaked geez",0
"I’m so glad I know the quadratic formula from 8th grade instead of knowing how to pay taxes, get ready for college, oh OR ANYTHING ELSE USEFUL THAT INVOLVES BECOMING AND ADULT",0
Men will literally fake an injury on the football field instead of going to therapy,1
"My (extended) fam was discussing going on a trip instead of getting presents for Christmas, like okay I’m bout it... Yeah they were talking about doing to the dells. I’ll take my god damn presents thank you very much",1
wait what the fuck that solo yolo is mad?,1
hey quick question is it fall or spring???,0
Remember the hundred emails from companies when Covid started getting real? I’ve gotten three in regards to support for protests. And only @USER shared helpful links and actually said black lives matter... we love capitalism,0
"""coping strategies to help with tinnitus and hearing loss: see a doctor!"" Wow thanks internet",0
2 busy working 2 care,1
6 more hours and then a whoppingly massive 2days off work! wowzers!,0
Searching for Pokemon later because I hate myself haha !!!,1
Entry level jobs that require 3 years prior experience ly,0
@USER @USER you’re trash,1
Woke up at 3 am with a MAD craving for pickles. I guess that means I'm expecting!,0
"Got locked out of Twitter for saying it’s embarrassing to be an arsenal fan. That’s not okay, but people can be abusive and racist and nothing?!? Okay!",0
thats it im packing my things and moving to italy see u all in a month xo,1
If only people would care as much about poverty and social equality the way they do jumping up and down for Team Remain or Team Leave.,1
I never thought I’d have a mortal enemy but it’s whoever keeps printing on blue paper and then leaving like 5-10 blue sheets in the math room copier when they’re done for the next unsuspecting person,1
but clinton's emails! oh. emm. fucking. gee. clinton's god damnèd emails. the humanity of it all. HTTPURL,1
"""Alexa add small bananas to the shopping list."" I've added smooth armours to your shopping list."" Gee thanks Alexa! alexa",1
"Horse dancing is my new favorite Olympic sport, I have no clue what’s happening, but this is incredible",0
Mad how many cars they make now without indicators,1
We really need to remind people that universal healthcare means never needing to sit through another annual explanation of benefits meeting,1
Semester hasn’t even started and I’ve already had two breakdowns :) this is gonna be a fun one!,1
First day of school and spectrum internet has already shit itself. Amazing,0
The high tomorrow is 45! Anyone wanna go to the pool?,0
"me: revises cells + other general biology stuff edexcel: ""i want a fit summer bod, get them to tell me how i get one"" EdexcelBiology Gcses2018",0
Don’t you just love it when they dig up your road at 8:30am on a Saturday,1
In sunny spain at the moment!!! Hows it all in england?,0
@USER @USER Did you even watch a single la Liga madrid game last season bruh Varane isn’t that good anymore,1
Top 3 ranked video games of all time: 1. Minecraft 2. Roblox Paintball 3. Every single Just Dance,1
came home to realize my family found and read my quarantine journal lmao lucky I didn’t get involuntarily committed wtf,1
NOT OLIVIA RODRIGO TRAITOR IN THE BACKGROUND LoveIsland,0
My work email isn’t working so I can just log off for the day right?,0
"Started watching house of cards, 4 episodes in. Already I can see it was a good choice",0
Pregnant and constantly crave KitKats. I literally have been living off of them for the past 4 months. @USER,0
i love jumping on zoom meetings where everyone is talking about their kids &amp; i'm stuffing my face with taco bell,1
“If I could have changed anything about my childhood I would have never watched spongebob” -no one,0
They really said you can’t have nice weather AND no lockdown for your bday this year huh,0
Hey does anyone know of any organizations that have massive stockpiles of money that could be super useful to the world during a public crisis?????,1
"""friends""",1
"@USER @USER Well, illegal immigrants categorically don’t get money from the government but why let a little thing like facts get in the way of a good bit of xenophobia...",0
I love not being pregnant so much it’s my fave thing about myself,1
I'm the highest I'll ever be on 420 in my life! I'm on an airplane duh,0
everytime i swipe through bumble when i’m bored i just get sad that no one has the same complex interests as me….rude /j,1
What kind of sins have y’all been committing for God to punish us with this kinda weather...,0
"Wizkid is the king, ok lol",1
I love when you go to shop for plus size clothing and it's always just shoved under women's and it doesn't have any subcategories so u just have to wade thru everything like a pig being thrown slop,0
I love when I start choking on my water in my 8 person class,1
I just don’t think it’s too much to have a perfect life with absolutely no problems ‍️,1
Sick of being healthy already pissing like a racehorse !! Keep Well hydrated Han 4th litre of water,1
Lovely day to be stuck at the mall with a dead battery.,1
me not turning up to work is a feminist movement actually,1
"Wait didn’t covid go away?? It’s after November third so it definitely should be gone now...wait...I’m confused...121,000 cases in a day? You’re telling me THE WHOLE WORLD didn’t fake a pandemic for the US election? No way...",1
is this an earthquake because i am shook right now,1
yes i have little interest in doing things that applies to me,1
See Brexit is going well,0
