text,label,true_label_str,pred_few_shot_baseline
Been trying to get my boyfriends attention. Let’s see how long it takes for him to see this tweet tho.,1,sarcastic,sarcastic
"Nothing screams “I’m a glamorous cosmopolitan woman” like following your dog down the street in the midst of winter, saying “go potty! Go POTTY!” over and over again.",1,sarcastic,sarcastic
"Ah yes, another afternoon with the WiFi down...really makes working from home that extra bit more enjoyable :)",0,literal,sarcastic
if jesus was resurrected again i would vote for him,1,sarcastic,sarcastic
when the toilet seat is warmed up for you&gt;&gt;&gt;,0,literal,sarcastic
"Ah yes, back spasms when I take a deep breath. This is 28.",0,literal,sarcastic
"@USER red among us guy, hes hot dont come for me",0,literal,sarcastic
I get a lot of boy who cried wolf vibes from the Red Cross and their emergency blood shortages all the time,0,literal,sarcastic
Anyone else hear some like thunder or something?,0,literal,sarcastic
my bf took my off his lock screen which obvi means he’s cheating on me,1,sarcastic,sarcastic
does ur dad hate you for no reason or are you normal?,1,sarcastic,sarcastic
Got a bloody screening invitation for a massive film - YES THAT ONE YOURE THINKING OF - and both screenings are on school days tempted to quit teaching tbh,0,literal,sarcastic
My living room feels really lively now. I’m recklessly sipping tea absorbing choons TaeSup,0,literal,sarcastic
i love 6 hour panic attacks,1,sarcastic,sarcastic
being single during college must be really fun when ur nOT IN A GLOBAL PANDEMIC,1,sarcastic,sarcastic
No longer a female as I refuse to wear heels ever again,1,sarcastic,sarcastic
"Leave it to the nice people of Hutch to yell at me to ""eat shit"" while I run. Jokes on them, I do.",1,sarcastic,sarcastic
You know the wolves match is boring when you're talking with your mate about the best way to wire up his new shed!,0,literal,sarcastic
"Goodness my parents are actually watching something on Apple TV+, brilliant, yet another streaming service!",0,literal,sarcastic
"At least half of my days are still bad days and let me tell you, i've never once killed 8 people because of it. A true miracle apparently",1,sarcastic,sarcastic
@USER Ok so when does the anger and bitterness start? Just so I can prepare properly…,1,sarcastic,sarcastic
next person that puts beomsil on my tl has to deal w me crying on the floor,1,sarcastic,sarcastic
Well. That went well. BelgianGP,0,literal,sarcastic
"If your website still has a google plus share button, forgive me if I’m not tripping over myself to take your information as credible or current.",1,sarcastic,sarcastic
Just disposed of a dead opossum. Good morning!,0,literal,sarcastic
Only a a President as strong and decisive as @USER would force the FDA to OK a drug even before clinical trial results are in. No need to wait for such silly formalities - people have been taking the drug for years and most are still alive and fine! OkToTry Gotrump HTTPURL,1,sarcastic,sarcastic
absolutely love waking up to the fire alarm at 7 am,0,literal,sarcastic
Petition to call erections social dickstanding,0,literal,sarcastic
2 minutes into the book and I already hate the main character. Lovely,0,literal,sarcastic
cold queso is so much better than warm queso HTTPURL,0,literal,sarcastic
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Yeah just a coincidence that infection rates go up and down dependent on when students are in the area or not, also tallies in with the parties being attended by up to 3 times the amount of allowed attendees. Definitely not students ‍️",1,sarcastic,sarcastic
I really hate the new TikTok voice over voice - she sound annoying af,0,literal,sarcastic
"I heard it might be snowing ??? Sounds fake, but okay??? Can anyone verify?????????",0,literal,sarcastic
yeah i enjoy some oregano on a nice pasta dinner (dumps oregano on mac n cheese),0,literal,sarcastic
"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.",0,literal,sarcastic
"if you see me crying in the self-service car wash in my rosati’s uniform, no you didn’t ️",1,sarcastic,sarcastic
"""@USER: FLORIDA YOU LITERALLY HAVE ONE JOB""",0,literal,sarcastic
"Someone in the pub just described the England team as ""a bunch of Marxists"". Makes you proud doesn't it?",1,sarcastic,sarcastic
Drum and bass is dangerous stuff don't you know.. FabricReview,1,sarcastic,sarcastic
90% of adulthood is just refilling your Brita pitcher.,0,literal,sarcastic
When you get woken up at 3am because of aftershocks from an earthquake,0,literal,literal
People who think cancel culture goes too far never learned about excommunication,1,sarcastic,sarcastic
"i love how i literally just finished watching the fifth hp film and then turned to my mum and said ""love a good bit of character death on a sunday :)"" the dsmp lore has utterly ruined my attachment to characters and how i see stories now. i am a broken woman.",0,literal,sarcastic
remember when everyone’s feeds were just retweeted giveaways looool those were the days,1,sarcastic,sarcastic
teams is down what a shame I can’t do my assignments,0,literal,sarcastic
Perfect way to end a 2+ hour @USER deley: getting stuck on the tarmack at @USER waiting to go to a gate for almost an hour,1,sarcastic,sarcastic
"@USER @USER @USER I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.",1,sarcastic,sarcastic
"Don’t keep up with the Joneses, the Joneses are broke!",1,sarcastic,sarcastic
Enjoy the bars and vineyards Make sure to send postcards to the people dying in your local hospitals. I’m sure they’ll be glad you’re not bored anymore,1,sarcastic,sarcastic
I reverse imaged searched a selfie and it under visually similar images it is exclusively asian woman my am I white passing narrative is quaking,0,literal,sarcastic
"Afghanistan just completely crumbling after spending over 2 trillion USD and 240,000 human lives over the course of 20 futile years of American occupation sounds amazing in theory, sure. But how are we gonna pay for it? What’s next, chocolate milk for everybody?",1,sarcastic,sarcastic
"@USER ""But it's a deterrent""",1,sarcastic,literal
yo @USER do yall do hysterectomies?,1,sarcastic,sarcastic
Drop in Center to let people get the 1st or 2nd Vaccine open today . I went thinking I was able to get my 2nd one . Wait in the que 30 mins .sits down arm ready to get ! Sorry your 12hrs to early !!! We cannot vacinate you till 56 days !!! @USER Seriously,1,sarcastic,sarcastic
"Both kiddos have a cold I don't feel good and now I think my oldest is having stomach issues, oh what a fun night!",1,sarcastic,sarcastic
i love ingesting poison and then wondering why my tummy is rumbling the next morning,1,sarcastic,sarcastic
Between Mikey cooking and Didi cooking for me I relaxing cooking?? I don’t know her,1,sarcastic,sarcastic
What happened to unbiased journalism @USER?,1,sarcastic,sarcastic
Boehner not clapping for gender pay equality. COOL.,1,sarcastic,sarcastic
"""are you experiencing suicidal or homicidal ideation?"" ""only while trying to talk to a human when I call @USER pharmacy""",0,literal,sarcastic
We get it ESPN. Sawx and Yanks. Let's go meteor.,1,sarcastic,sarcastic
I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,1,sarcastic,sarcastic
Kind of rude of my stomach to still make whale noises after I’ve given it a whole protein bar,1,sarcastic,sarcastic
what i love about mine and summers work schedules is that she will finish at 8pm and then i’ll start work at 9pm and then when i get home at 7am she’ll start work at 8am ️,0,literal,sarcastic
V excited to grant an extension to students who email me and my co-teacher and get both of our names wrong,1,sarcastic,sarcastic
Just nearly cried in the tesco express because they didn’t have the cheese pizza or the back up pizza I wanted. My mental stability is strong today.,0,literal,sarcastic
Can’t wait for those $2000 checks to go out immediately,0,literal,sarcastic
