text,label,true_label_str,pred_few_shot_baseline
No Blanche she is upset because they keep changing the taste of coke.,1,sarcastic,literal
"I don't know Rose, maybe Marry Poppins has an Italian cousin.",1,sarcastic,sarcastic
No itÕs the rose in the kitchen thing.,1,sarcastic,literal
"I'm sorry Sophia, but in Dorothy's defence, it sure sounds a lot like her.",1,sarcastic,literal
Because it wears a little sunbrella Rose.,1,sarcastic,literal
"In what Blanche, dog years?",1,sarcastic,sarcastic
"Rose, you should sit here and watch her hack herself to death",1,sarcastic,literal
"I don't know. Somebody bigger and... Yeah, sure. Why not you?",1,sarcastic,sarcastic
"Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""",1,sarcastic,sarcastic
"I understand your point, but given a choice, Jews always go with Chinese food.",1,sarcastic,sarcastic
"Yeah, terrific. The other astronauts would love to go hurtling through space with a guy named ""Crash.""",1,sarcastic,sarcastic
"Hope your hands are steady. It's the width of a single hair. But this is just biology, so I'm sure it's no problem for a genius like you.",1,sarcastic,sarcastic
"Also instead of just living in your mother's house, you could actually live inside her body.",1,sarcastic,sarcastic
"There they go, fighting again. You'd never hear her talk that way to Sauvignon Blanc.",1,sarcastic,sarcastic
"You know, the holidays are just around the corner. Maybe he wants to see if he can lodge the other testicle up there.",1,sarcastic,sarcastic
This is why I've been saying we should keep champagne on ice.,1,sarcastic,sarcastic
It's why my people wandered the desert for 40 years. Took that long to walk it off.,1,sarcastic,sarcastic
"Sheldon, if you were a robot, and I knew and you didn't...",0,literal,literal
"Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali.",0,literal,literal
Don't you think looking for a new city to live in is a bit of an overreaction?,0,literal,sarcastic
What did you mean when you said you were going to miss me?,0,literal,literal
Then buckle up; you're in for a cranky night.,0,literal,sarcastic
"And if I had a friend, they might have told me that.",0,literal,sarcastic
Let's not talk about this in front of our friends.,0,literal,literal
I can't believe we wasted all that time on our Hulk costumes.,0,literal,sarcastic
"No, just me, her and a couple of the big wigs. It's part of a bonus she got.",0,literal,literal
I'm not saying that you're not fun. You're the most fun person I know.,0,literal,sarcastic
"Uh, so how many cameras are actually on you.",1,sarcastic,literal
Yeah either that or gloria estefan was right eventually the rhythm is going to get you,1,sarcastic,literal
"Okay, but if you are not coming back soon, there is pretty much nothing I can do about it",1,sarcastic,literal
"Oh, wait a minute, I have no one.",1,sarcastic,sarcastic
"If that doesn't keep kids in school, what will?",1,sarcastic,sarcastic
"Oh Oh, I am convinced!",1,sarcastic,literal
Well thank God your livelihood doesn't depend on it.,1,sarcastic,sarcastic
Oh tons. I am quite the woodsman.,1,sarcastic,sarcastic
"Oh I see, I thought you just really really liked your new couch.",1,sarcastic,sarcastic
"Well, it will probably slow me down at first. But once I am used to the extra weight, I ll get back on track.",1,sarcastic,literal
I'd miss you if I broke up with you. Just trying to be supportive.,0,literal,sarcastic
We got a box.,0,literal,literal
"Oh hey, great, you're up. Rachel, this is my sister Krista. Krista, this is Rachel.",0,literal,sarcastic
Nobody sees the king!,0,literal,sarcastic
"Yeah, I don't think so Joe.",0,literal,sarcastic
Ohhh!!!!,0,literal,literal
"So, I'm sorry I just don't think we should go away together yet.",0,literal,literal
Chandler?,0,literal,literal
The end.,0,literal,literal
"Oh yeah he has a caretaker his older brother, Ernie. You can't make this stuff up!",0,literal,sarcastic
