context,text,label,true_label_str,pred_context
DOROTHY: Honey you alright? | ROSE: I'll be fine | BLANCHE: Is this about Arnie?,DOROTHY: No Blanche she is upset because they keep changing the taste of coke.,1,sarcastic,literal
ROSE: Isn't she happy here? | DOROTHY: I think she will be happy with Gloria | ROSE: What about us? Whose gonna keep after us. Make us linguini and tell us story about Cicily.,"DOROTHY: I don't know Rose, maybe Marry Poppins has an Italian cousin.",1,sarcastic,sarcastic
"DOROTHY: She is miserable. | ROSE: Just to keep me upto speed Dorothy, it is this negligent arson that prospect of spending the rest of her wiening years in jail thing right?",DOROTHY: No itÕs the rose in the kitchen thing.,1,sarcastic,sarcastic
DOROTHY: You what the joke going around teacher's lounge was today Ma? Me | SOPHIA: I know this joke | DOROTHY: Everybody heard on the radio that some anonymous Ma was complaining that her dependent daughter Dorothy doesn't have a life of her own. | SOPHIA: What you think of the only grey head substitute teacher named Dorothy wasting her life away in Miami?,"ROSE: I'm sorry Sophia, but in Dorothy's defence, it sure sounds a lot like her.",1,sarcastic,sarcastic
"DOROTHY: It is not a fly Rose | ROSE: Spanish fly is not a fly? | DOROTHY: No, it's a beetle. | ROSE: They call it a fly but its really a beetle? | DOROTHY: Yes | ROSE: How did they know its Spanish?",DOROTHY: Because it wears a little sunbrella Rose.,1,sarcastic,sarcastic
"DOROTHY: Was there ever any doubt? | BLANCHE: Momentarily. This is strictly off the record, but Dirk's nearly five years younger that I.","DOROTHY: In what Blanche, dog years?",1,sarcastic,sarcastic
"DOROTHY: ma I think you should sit down | ROSE: Dorothy, should I get Sophia a glass of water?","DOROTHY: Rose, you should sit here and watch her hack herself to death",1,sarcastic,sarcastic
"RAJ: Stupid Aquaman. | LEONARD: If it makes you feel any better, when I was dating Penny, she used to flip out on me all the time. | PERSON: Whoa. You dated Penny? | LEONARD: She didn't tell you? | PERSON: She told me she dated a guy named Leonard. | PERSON: Who would have thought it was you? | LEONARD: Who else would it be?","PERSON: I don't know. Somebody bigger and... Yeah, sure. Why not you?",1,sarcastic,sarcastic
"HOWARD: Are you saying that you've been holding back? | LEONARD: Of course. Out of respect. | HOWARD: So, how do you explain the ten years before Penny? | RAJ: Who were you respecting then? | LEONARD: Well, I've dated plenty of women. | LEONARD: There was Joyce Kim, Leslie Winkle","SHELDON: Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""",1,sarcastic,sarcastic
"HOWARD: There's a 39.95 lover's special at P.F. Chang's. | HOWARD: Egg rolls, dumplings, bottomless wok, and you get your picture taken on the big marble horse out front. | SHELDON: Given that Saint Valentine was a third century Roman priest who was stoned and beheaded, wouldn't a more appropriate celebration of the evening be taking one's steady gal to witness a brutal murder?","HOWARD: I understand your point, but given a choice, Jews always go with Chinese food.",1,sarcastic,sarcastic
"RAJ: Buzz Lightyear is not real. | HOWARD: No, that's not what I'm talking about. | RAJ: Well, are you talking about when he thought he was real? | HOWARD: No | RAJ: Okay, um... how about ""Crash""? 
Howard ""Crash"" Wolowitz.","HOWARD: Yeah, terrific. The other astronauts would love to go hurtling through space with a guy named ""Crash.""",1,sarcastic,sarcastic
"SHELDON: All right. | SHELDON: I'm no stranger to a little gray matter. | SHELDON: Locus coeruleus. | SHELDON: Locus coeruleus. | AMY: You're getting warmer-- it is, indeed, in the brain.","AMY: Hope your hands are steady. It's the width of a single hair. But this is just biology, so I'm sure it's no problem for a genius like you.",1,sarcastic,sarcastic
"SHELDON: Wrong. Leonard? | LEONARD: Horse, but mostly just for the height. | LEONARD: A little bit for the genital girth. | SHELDON: Wrong, and let's keep it clean, shall we? | HOWARD: Kangaroo, uh, I'd be Kanga-Jew. | HOWARD: The first of my people to dunk a basketball.","LEONARD: Also instead of just living in your mother's house, you could actually live inside her body.",1,sarcastic,sarcastic
"SHELDON: Howard and Bernadette, Raj and his girlfriend, Penny and Chardonnay, Penny and you. | LEONARD: There isn't any ranking. | LEONARD: And if there were, we wouldn't be at the bottom of it. | PENNY: Yeah, and actually, I drink Sauvignon Blanc. | LEONARD: That's the part you have a problem with? | PENNY: Relax.","AMY: There they go, fighting again. You'd never hear her talk that way to Sauvignon Blanc.",1,sarcastic,sarcastic
"LEONARD: No, that was a different, different guy. | SHELDON: Was he the one who used your head to open a nut? | SHELDON: Oh, oh, oh. | SHELDON: Was he the one who made you eat your arm hair? | LEONARD: No, but, actually, that was this guy's sister. | PENNY: All right, well, what do you think he wants? | LEONARD: I don't know.","SHELDON: You know, the holidays are just around the corner. Maybe he wants to see if he can lodge the other testicle up there.",1,sarcastic,sarcastic
AMY: we decided that the time was right to take a step forward. | LEONARD: Okay. | SHELDON: Do you want to say it? | AMY: Let's say it together. | SHELDON: We're getting a turtle!,PENNY: This is why I've been saying we should keep champagne on ice.,1,sarcastic,sarcastic
PENNY: I don't think I've eaten that much in my entire life.,HOWARD: It's why my people wandered the desert for 40 years. Took that long to walk it off.,1,sarcastic,sarcastic
"PERSON: On the other hand, no arousal. | LEONARD: None? | PERSON: None. | LEONARD: Thank you for your time. | PERSON: Thank you. | LEONARD: None at all?","HOWARD: Sheldon, if you were a robot, and I knew and you didn't...",0,literal,sarcastic
"LEONARD: Do you really need the Honorary Justice League of American membership card? | SHELDON: It's been in every wallet I've owned since I was five. | LEONARD: Why? | SHELDON: It says, ""Keep this on your person at all times."" | SHELDON: It's right here under Batman's signature. | RAJ: and this is Leonard and Sheldon's apartment. | HOWARD: Guess whose parents just got broadband.","RAJ: Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali.",0,literal,literal
SHELDON: My new computer came with Windows 7. | SHELDON: Windows 7 is much more use r- friendly than Windows Vista. | SHELDON: I don't like that.,LEONARD: Don't you think looking for a new city to live in is a bit of an overreaction?,0,literal,sarcastic
"PENNY: What time is it? | LEONARD: It's 7:00 a.m. I'm sorry it's early, but we're leaving soon, and I needed to talk to you.",LEONARD: What did you mean when you said you were going to miss me?,0,literal,sarcastic
