text,label
"Gleich mal eine persönliche Frage. Hatten Sie eine schöne Woche, meine Damen und Herren? Oder haben Sie Aktien?",1
"So, immerhin kommt in diesen Tagen Bewegung in die Ukraine-Verhandlungen.",0
"Das Filmchen fetzt doch, würde meine Generation sagen.",1
"Wenn Sie AbschiebeTV technisch nicht empfangen können, geht natürlich auch WeltTV, das ist quasi das Gleiche.",1
"Auch Innenminister Dobrindt meint, das sind doch bloß Einzelfallentscheidungen. Dabei hat das Gericht die Argumentation der Bundesregierung grundsätzlich zerpflückt. Durch den Häcksler gejagt und nochmal draufgespuckt. Metaphorisch gesprochen.",1
Der Handelskrieg ist keineswegs vom Tisch. Wir müssen uns also weiter auf den Worst Case vorbereiten.,0
"So, noch in diesem Jahr sollen Voraussetzungen für Wehrerfassung und Wehrüberwachung geschaffen werden. Das heißt, wir müssen hier erstmal rauskriegen, wen wir überhaupt noch im Bestand haben. An wehrfähigen Reservisten zum Beispiel.",0
"Aber es ist ja nicht so, dass man Wirtschaft und Umweltschutz nicht vereinbaren könnte.",0
"Bis heute sind 21 Prozent der Waldflächen in Deutschland Monokulturen. Und auch wenn der ein oder andere denken mag, was könnte es Schöneres, Besseres, Erhabeneres geben als nur eine Kultur in einem Land, alles gleich? Nein, das ist nichts Gutes. Denn wenn alles gleich ist, bedeutet das Ödnis.",1
"Geschamed vom eigenen Arzt. Das ist wie vom eigenen Labrador belehrt werden, dass man zu anhänglich sei.",1
"Und wenn es doch mal wieder länger dauert, weil der Bus nicht kommt, hat man an den neuen Haltestellen immerhin was zu gucken. Werbung. Und jetzt sogar digital.",1
"Wenn man sich nämlich nicht damit auseinandersetzt, wie ein menschenverachtendes faschistisches System entstanden ist und durch welche Person es unterstützt wurde, dann kann man auch nicht aufpassen, dass sowas nicht nochmal geschieht. Wem nützt es also? Ganz einfach uns allen.",0
"Gut zugegeben, die Quelle für Tom Cruise Gewicht ist jetzt nicht das statistische Wiegeamt, sondern die Gala. Aber wenn die sich für eine Sache aufrichtig interessieren, dann fremde Körper.",1
Dem Wald geht's also schlecht 2025. Wer hat das kommen sehen?,1
"2,38 Sekunden. In dieser Zeit können sich locker zehn Klimaaktivisten auf die Straße kleben.",1
"Die Basis von Kühnes Vermögen stammt aber von dem Unternehmen, das er geerbt hat und das seinen Namen trägt.",0
"Diese Grenzkontrollen sind bestimmt gut gemeint, aber in erster Linie reine Symbolpolitik.",0
"Amerikanische Journalisten haben gerade ausgerechnet, dass Trump jetzt schon ein Drittel seiner neuen Amtszeit auf dem Golfplatz verbracht hat. Wegen mir darf das gerne mehr werden, absolut.",1
"Verstehe. Sie nennen sich Auskunfttheien. Klingt erstmal unspektakulär, denn Auskunfttheien sind im Prinzip eine gute Sache. Sie schützen nämlich uns davor, nicht zu viel Geld auszugeben und Unternehmen keine Geschäfte mit Leuten zu machen, die nicht zahlen können.",0
"Für die CO2-Emissionen, die entstehen, um ein einziges digitales Werbedisplay herzustellen, könnten sie 150 Mal von Hamburg nach München fliegen.",0
"Ja, andererseits, dann hören wir halt einfach auf, Mikroplastik zu uns zu nehmen, oder? Das kann doch nicht so schwer sein.",1
"Bei Unfällen ist oft Alkohol mit im Spiel. 2022 wurden mehr als 20.000 Menschen bei Verkehrsunfällen unter Alkoholeinfluss verletzt, zum Teil mit Todesfolge.",0
"Jedenfalls findet man im internen Kundenbereich jede Menge Tipps, wie man Abstinenznachweise auch von Drogen umgehen oder verfälschen kann.",0
"Natürlich, ja. Wahrscheinlich kann man den sogar für Kindergeburtstage buchen, wenn man einen Trump Tower neben die Hüpfburg baut.",1
