text,label
"아, 그러니까 수학을 무너뜨리는 일이라도 하실 생각이시군요.",1
"와, 나도 그런 꿀 잼 회사 가고 싶다!",0
"오, 그러면 당신은 게임의 천재이군요!",1
현대 차나 기아차가 나을 것 같아.,0
우리 개들은 진짜 고기를 잘 찾는구나!,0
그런데 저는 공부를 별로 안 해서 스티커를 많이 적립할 수 없을 것 같아요.,0
"아, 너 배 타는 거 싫어하잖아. 그럼 독도 가는 건 정말 완벽한 선택이겠네.",1
"네, 잘 알아. 한 판만 먹었으니까 배가 부르겠지.",1
"아, 배에서 롤러코스터 체험이라... 그것도 별미네요!",1
"그래, 그렇게 해서 실패하면 그때 뒤늦게 후회하면 되잖아.",1
"오, 건강이 너무 좋아진 거 아니야?",1
이게 바로 현대인의 스트레스 해소법이지.,1
여름의 무더위를 즐기는 건 참 특별한 경험이시네요.,0
"아뇨, 오히려 그분의 미소가 제 하루를 밝혀주었어요.",0
"아, 그래서 다이어트를 위한 최적의 전략이군요.",0
물결 고데기를 사용하다 보니 머리카락이 너무 많이 타버렸어요.,0
쇼핑을 좀 하면 기분이 나아져요.,0
그럼 네가 지갑을 다이어트 시키려고 그런 거구나!,1
그래도 모험심이 더 생기셨겠어요.,0
아~ 당신은 참으로 게임에 대한 투자가 대단하시군요.,1
"아, 그럼 너의 집이 너에게 최고의 병원이겠네.",1
아마도 자전거에 로켓 엔진이나 날개를 달아야겠네요.,1
"아, 그런데 화장실을 자주 가야 해서 시간이 조금 걸릴 것 같아요.",0
그래? 근데 너 왜 그렇게 힘들어 보이지 않아?,1
그래도 당신은 다른 사람들에게 꿈을 줄 수 있는 재능이 있으시네요.,1
"아니, 집에서 뒹굴뒹굴하는 게 힘들다고요? 그게 얼마나 멋진 일인지 아시나요?",1
그럼 상사와의 관계도 엄청 좋아지겠군요.,1
그러면 우리 둘 다 정말 애완동물 마스터가 되겠네요.,1
그런 영화에 대해 꼭 알아야 할 이유가 분명히 있겠죠.,0
"칠리크랩, 그거 들으면 무슨 삼성의 신제품 같군요.",0
그럼 꼭 보세요. 특히 '양밀 침침 여신상'은 진짜 놓치면 후회할 거예요.,0
"아, 나 순한 세제 좋아해. 진짜 꼭 사야겠다.",0
그럼 정말 맛있게 드실 수 있겠네요.,1
당신은 황금의 맛을 알아보시는군요.,0
"어우, 굉장히 브랜드 의식이 높네.",1
그럼 재미있게 자주 바꿔 붙일 수 있겠네요.,0
"아, 한국어는 아직 배우는 중입니다. 많이 어렵네요.",0
파전 만들기가 그리 어렵나요? 손바닥에 찹쌀가루만 치면 되잖아요.,1
"아, 우리 모두가 원하는 시간에 퇴근할 수 있으면 좋겠네요.",0
그래도 둘이서는 절대로 심심하지 않겠네요.,0
"아, 그럼 부산으로의 출장은 무료 여행이겠군요.",1
"아, 그래서 회사에서 학위가 모든 걸 결정하는 거군요.",1
그럼 야구장은 정말로 완벽한 콘서트장이 될 것 같네요.,1
아 그런데 제가 별로 마블에 관심이 없어서 잘 모르겠네요.,0
"우와, 네 이야기는 정말로 스릴 넘치는군.",1
"아니요, 맛이 좀 이상했습니다. 매운 건 싫어해서 맵기를 조절하라고 했는데 너무 싱겁게 왔어요.",0
"네, 확실히 우리 모두가 이렇게 새로운 방식의 봉사활동에 적응해야 하는 시기이긴 하죠.",0
그런 맛이면 정말 재미있게 먹을 수 있겠네요.,1
"맞아요, 그런데 사실 요즘 회사 동료들하고도 잘 안 맞는 것 같아서, 새로운 일을 찾고 있어요.",0
"아직 디즈니 실사영화가 애니메이션에 비해 부족하다니, 참 신선한 시각이십니다.",1
그래서 인생이 지루하지 않게 유지되겠군요.,1
그럼 오늘 하루 종일 달콤한 일만 가득하시겠네요.,1
"그럼 당뇨병에 걸리겠네, 기대해 봐.",0
그럼요. 가족들과의 시간이 줄어들어서 많이 그리워요.,0
"아, 그래서 그 향이 너무 강해서 코를 찡그려야 하는 거군요.",1
그게... 잘 먹지는 않아요.,0
"그래, 연예인들이 뭘 하든 너는 따라 하지 않겠지.",1
"아, 하루 종일 컴퓨터 앞에 앉아서 몇 시간씩 일하는 게 정말 힘들겠군요.",0
"아, 그렇게 맛있는 순대 국밥의 맛을 몰라서 어떻게 살아왔을까요?",1
"선생님, 그렇게 제 머리를 단정하게 해야겠어요. 정말 이해가 가요.",0
그냥 얇게 입고 다녀. 체온 조절이 어렵긴 해.,0
"와, 더 피에서 롯데나 신세계 상품권으로 쇼핑하는 거 처음 들어보네.",0
그래요? 진짜 세상에는 사랑만 넘치는군요.,0
"아, 그런 깊은 내용을 아이가 이해할 수 있겠군요.",1
"아니, 그냥 감기면 집에서 쉬면서 해결하면 되는 거 아닌가요?",0
그럼 잠이 안 와서 고민하는 사람들에게 꼭 추천해야겠네요.,1
"아, 그렇군요. 너무 힘들어하지 마시고 즐기면서 해보세요. 경쟁률 높은 회사에 지원하는 게 재미있을 텐데요.",1
"아니, 너 그게 아니라 신비한 분위기를 내려고 한 거 아니야?",1
"네, 환자분들께서도 판타지 속에서 치료를 받게 되면 얼마나 흥미롭겠어요.",1
"와, 그래서 너의 게임 실력이 엄청난 거였구나.",1
"네, 물론이지. 근데 나 요즘 바다가 너무 보고 싶어.",0
넌 정말 성실함의 대명사야.,1
"아, 그래서 화장이 더 잘 먹나 보군요.",1
"그래, 너한테는 털이 빠진 이불보다 털이 빠지는 이불이 더 '느낌' 있겠지.",1
아직도 그 컵라면의 맛을 잊지 못하신 건가 보네요.,0
정말 멋진 마음가짐이시군요. 항상 환자들을 위해 고민하는 모습을 보면서 저도 많이 배웁니다.,0
"와, 너 참 바쁘겠다. 어디 안 가고 집에서 쉬는 건 어때?",1
"그래, 넌 항상 1등이지, 마지막에서.",1
"네, 그래서 뜨끈한 국물을 마지막에 먹으면 음식이 더욱 맛있게 느껴집니다.",0
정말 열정적이시네요. 주말에도 일을 사랑하는 건 아주 훌륭한 일이에요.,1
"와, 유튜브로 인생의 지혜를 찾아가는구나!",1
"아, 그럼 넷플릭스는 당신의 영화 취향을 더 잘 아는군요.",0
"사실은, 날씨가 너무 좋아서 제주도의 각 관광지를 너무 많이 돌아다녀서 힘들었습니다.",0
"아, 그래서 추운 날씨를 더 즐기셨겠군요.",0
아 그렇군요? 그런데 저희 집은 건조기와 식기세척기를 사용해도 실제로 집안일이 줄진 않더라고요.,0
