text,label,language
user اشتركت بمسابقات كثير من رمضان وانا اشترك ولا مره احد طاح علي الحين بس ودي اتوظف ادعوووووولي بالوظيفه اكفون,0,arabic
"Klaus Michael Kühne ist nicht der Einzige, der sich in Deutschland schwer tut mit dem Erinnern. Ganz Deutschland tut sich schwer mit seinem Erbe.",1,german
诚实勇敢勤劳善良,0,chinese
"아, 정말 큰 재미를 놓치셨네요.",0,korean
مرشحان أفضلهما سيئ!: سالم مشكور /خرجت مرشحة الرئاسة الاميركية هيلاري كلنتون متفوقة على منافسها دونالد ترامب ... http,1,arabic
قناة روسيا اليوم/ مهنئا العراقيين.. #ترامب يتصل ب #العبادي ويدعوه لزيارة #واشنطن #اسأل... - عبر نبض @user http,0,arabic
الانقلابي جورج اسحق يشكو من تعسف الانقلاب انت لسه شفت حاجة بكره تبكى بدل الدموع دم وتقول ولا يوم من ايامك يا مرسي,1,arabic
In der Regel. Was heißt denn das? Immer? Manchmal? Nur wenn die Sonne in Konjunktion mit Jupiter steht?,1,german
那中午吃饭怎么办,0,chinese
getting in a crash on january 1st seemed like the worst thing in the world but i’ve just been given the fittest hire car so silver linings,0,english
Hi,0,english
"Ach ja, die Nachrichtenlage macht echt gar keinen Spaß mehr in diesen Tagen.",0,german
كيفية الغاء كورتانا المساعد الشخصي في ويندوز Windows 10 http,0,arabic
Donald Trumps Lieblingsmensch ist und bleibt halt Donald Trump. Das weiß inzwischen jedes Kind.,1,german
"Gut zugegeben, die Quelle für Tom Cruise Gewicht ist jetzt nicht das statistische Wiegeamt, sondern die Gala. Aber wenn die sich für eine Sache aufrichtig interessieren, dann fremde Körper.",1,german
Do the Hokies really have to play 5 against 6 tonight? Come on stripes,1,english
"Just got in, how’d Liverpool get on?",1,english
정말로? 그럼 너무 고민할 것도 없었겠네요.,0,korean
ﺍﻟﺸﻌﺐ_ﻳﺮﺩ_تحية_الرئيس #انتخبوا_العرص #خليك_مصدق ان حزب النور اسلامي,1,arabic
"Ausgewogene Verteilung bedeutet nicht gleichmäßige Verteilung. Aha, das sagt wohl auch der große Bruder zum Kleinen, wenn er seine Gummibärchen klaut.",1,german
"SpaceX is incredible. For all the problems in the world, the pursuit of discovery and doing things that have never been done before warms my heart!",0,english
비싸도 맛있다면 괜찮아요. 추천해 주셔서 감사합니다.,0,korean
مساء النور حبيب القلب #رامي_عياش #أمير_الليل @user,0,arabic
يعنى الكنائس ف القدس افضل من قناة القاهرة و الناس ف مصر #الكنايس_ترفع_الاذان #القدس #الاقصى_الاسير,1,arabic
"아, 그렇군요. 저는 다양한 맛을 경험하는 것이 좋습니다. 상추와 파만 먹으시는 분들이 특별하다고 생각해요.",0,korean
这证明咱们是一个光荣的集体,0,chinese
"Ein Außenwerbeunternehmen hat selbst mal nachgeforscht, wie lange Autofahrer auf Werbetafeln gucken. Das Ergebnis? Fast 2,38 Sekunden lang fangen digitale Werbeflächen die Blicke der Autofahrer ein.",0,german
"아니, 캐릭터가 사라져서 어떡해. 이제 인생이 망했어.",0,korean
这么简单的道理,1,chinese
"Here’s the situation, DO WHATEVER MAKES YOUR HEART HAPPY!!! You’re going to die one day dang it. At least do all the things you wanted to before you leave!!",0,english
要么有要么没有,1,chinese
"아, 아기가 그런 복잡한 말을 모두 이해하겠군요.",1,korean
咦小胡,0,chinese
"Das muss man sich mal vorstellen. Klaus Michael Kühne ist so reich, der hat zwei iPads. Sogar Steve Jobs hatte nur eins.",1,german
"Auch gestern waren im Oval Office wieder Vertreter der, wie Donald Trump das nennt, neuen Medien dabei. Das sind in erster Linie rechte Blogger und Hardcore-Trump-Fans, die im Weißen Haus tatsächlich als Erste fragen dürfen.",0,german
people who think it’s funny to spike drinks are the actual scum of the earth,0,english
when i try to bond with my friends' boyfriends i feel like jane goodall,0,english
أفضل ممثل لثورتنا#30_يونيو هو قائدهاسيادةالمشير علشان كده #السيسي_رئيسي_2014 #سأنتخب_السيسى_و_مش_هنزل_لمستواك,1,arabic
@USER @USER buy really rare pokemon card,1,english
"자이언티가 노래를 부르는 부분이 웃겼습니다. 그의 목소리를 좋아하는데, 그렇게 노래를 부르는 것을 처음 보아서 웃었습니다.",0,korean
"아, 복직 준비라니, 그것도 마치 주말에 산책 가는 것처럼 쉽죠.",1,korean
هما لغوا خاصية switch account في تحديثات فيسبوك ماسينجر الجديدة عند كل الناس؟ ولا ده غباء من الأبليكيشن اللي معايا بس ولا ايه اللي بيحصل؟,1,arabic
jack antonoff once ur done with clairo i’m right here sweetie,1,english
من #بروكسل | الأمين العام لـ«#الناتو» واثق من قيادة ترامب للحلفhttp http,0,arabic
"아니, 너한테 이런 좋은 기회가 왔다니, 진짜 부럽다.",1,korean
"오, 그걸 어떻게 알았어? 매일 고슴도치를 만지거나 해본 적 있어?",0,korean
그런데 찾아봤자 몇 개나 될까?,0,korean
It’s that time again. Please recommend some good period dramas and comedies.,0,english
@USER SHOCKED. How am I supposed to tell the kids they're not going to Disneyland on June 21st after all? It's already been cancelled 36 times! HTTPURL,1,english
Ich habe mir Ihre digitale Gesundheitsakte schon im Darknet besorgen können.,1,german
그럼 우리 당신을 '빵만 먹어도 행복한 사람'이라고 부르겠습니다.,1,korean
تركيا: لم نبرم أي «صفقة» سرية مع موسكو حول مستقبل سورياhttp http,0,arabic
"I made a thing. My first attempt at mixed media, steampunk style as a gift to @USER 14 years of not killing each other. I'm kind of happy with this one. anniversary happy mixedmedia steampunk myart HTTPURL",0,english
그런 사랑스러운 방법으로 물건들을 정리하는군요.,1,korean
@USER Win next three and we're guaranteed second aren't we?,0,english
"워, 너 정말 모험가 같네. 꼭 재미있는 이야기 들려줘.",0,korean
에어컨이 없어서 좋으시겠어요. 사우나를 즐기실 수 있으니까요.,1,korean
ماذا قال رامي عياش عن الممثل أسعد رشدان؟ http http,0,arabic
user: هل تغير إيران من سياسات تعاملها مع السعودية؟http البديل :http http,0,arabic
"Und ich sag mal so, wenn Eigenlob endlich olympisch wird, holt er hier immer Gold.",1,german
Wir haben endlich eine Angleichung der Ost- und West-Rentenwerte geschafft. In die Richtung muss das weitergehen.,0,german
Why did my wife decide we needed a new kitchen !2Days to strip the tiles and plywood off ! HTTPURL,0,english
"Pissed off at @USER and just want out of my contract, but I'm sure that would just be way too easy, ugh :(",1,english
"Deutsche Waffen werden aber nicht nur zur Verteidigung Europas verkauft, sondern auch in Länder wie Saudi-Arabien.",0,german
导演导演是这样啊,0,chinese
그럼요. 배가 너무 고파서 말도 못 하겠어요.,0,korean
"아니야, 다른 곳에 있어서 선택해야 해.",0,korean
يعني لما أقول إن مبارك المخلوع سحب سفيرنا من إسرائيل مرتين قبل كده يوصل اللغط أن النعاج والخرفان يقولوا أني بشكر فيه؟ فعلاً بكل طلاقة #ماء,1,arabic
yo @USER do yall do hysterectomies?,1,english
.@USER IL needs to be a leader in the fight to protect women's rights. It's time to modernize Illinois' abortion law and pass the Reproductive Health Act. Please vote yes! RHAinIL twill,0,english
Elaine Quijano exhibits roughly the same amount of control over this debate as two rabbits do on their first date.,1,english
"I've done Christmas alone before and this is the way to do it. Eat what you want, drink what (and however much, or little) as you want. Watch as much TV, and watch whatever you want. Walk, sleep, read, do whatever you want to do, own the day it will be what you make it. HTTPURL",0,english
اذن فلتحرقنا الحرب جميعا حظ سعيد في محاولة ابادة او اخضاع مئات الالاف,1,arabic
التعاطي مع ملف النازحين السوريين في لبنان يكون فقط مع منظمة الأمم المتحدة فقط ونازحين السوريين في لبنان يرفضون التعامل مع النظام السوري,0,arabic
Will pessi sign for man city,1,english
i want tech to be banned for use in work relationships. i don't ever want my bosses asking me why im missing optional shit. just write me up at that point.,0,english
user: في تكتيك لو يستخدمه الشايب العايب باوزا اضمن انهم بيفوزون بالراحة ، يوريهم بين الشوطين الصورة اللي نزلها ميسي و شف الحماس…,0,arabic
"Bevor das Gesetz endgültig beschlossen wird, dürfen jetzt erstmal alle Fraktionen im Bundestag draufschauen und Änderungsvorschläge einbringen.",0,german
你怎么会想到这些呢,0,chinese
그럼 백신 맞기 전부터 아픈 사람처럼 약까지 먹어야 하나요?,0,korean
这也就是能骗骗你们这些小姑娘,1,chinese
"So, EU-Grenzwerte für Reifenabrieb sind zwar in Arbeit, heißt es, allerdings dauert es wohl noch Jahre, bis die in Kraft treten.",0,german
"와, 시간과 돈을 너무나도 효율적으로 사용하시는군요.",1,korean
