text,label,language
"아, 그러니까 집 안에 고양이 털로 카펫을 깔 수 있겠네요.",1,korean
"I’m normally trashed when I make my friends deadly drinks, seeing the effects while sober I do not know why they continue to have me make them drinks.",0,english
그러니까 처음에 태우는 게 레시피의 핵심이었군요.,1,korean
그렇습니다. 불행히도 그게 현실입니다. 많은 사람들이 야근을 하고 있습니다.,0,korean
你居然不知道她跟谁过不去,1,chinese
Still time to apply for our Clinic Supervisor post… HTTPURL,0,english
"Ich sag mal so, wenn der Wehrdienst das beste Jahr deines bisherigen Lebens war, dann war dein bisheriges Leben relativ scheiße.",1,german
그래서 너 요즘에 살 많이 빠진 거 같더라.,0,korean
getting into a high speed chase with the cops but using my turn signals in accordance with the law the whole time,0,english
정말 열심히 알아보실 거라 믿어요.,1,korean
user هذا فيلم هاري بوتر الجديد,0,arabic
그런데 입 냄새가 심해서 치과에 가서 치아 관리를 좀 해야 할 것 같아.,0,korean
"cannot believe i was at an actual gig tonight and now i’m on my way to an actual nightclub, truly feel like me again i am thriving",0,english
"아, 그럼 아메 쇼만 키우면 알레르기가 싹 사라지겠네!",1,korean
그럼 이번 태풍은 조용한 휴가처럼 보내면 되겠군요.,1,korean
When I grow up I wanna be a sociopath,1,english
"아, 이해가 안 되면 그만큼 깊은 전략이라는 거겠죠.",0,korean
你自己照镜子就知道了,1,chinese
整天要么就是你老公跟你妈吵架,1,chinese
ساعة أبل في الأسواق مرة أخرى http,0,arabic
"그렇게 중요한 결정을 바로 내리다니, 대단하다.",1,korean
听说一菲学校的成人进修班在招聘美术老师,1,chinese
아~ 그래서 네가 요즘 많이 빠진 거구나.,1,korean
"오호, 이렇게 요리에 진심이신 걸 보니 요리사가 탄생하는 거 아닌가요?",1,korean
那还老让我打杂啊,0,chinese
"출퇴근 때문에 이직을 고민한다니, 참 대단하신 분이시네요.",1,korean
@USER Well done,0,english
去练钢铁呀,0,chinese
"네, 저도 집에서 음식을 주문하면서 원래의 맛을 느낄 수 있다는 게 정말 좋아요.",1,korean
"응, 힌트 보는 내가 정말 똑똑하다니까!",1,korean
"네, 기다림은 분명 보람이 있을 거예요.",0,korean
المستشار #يحيى_قدري يكشف خطوات الفريق #أحمد_شفيق القادمة بعد العودة لمصر http,0,arabic
"FC Barcelona has between 60 and 70 million Euro to spend in the winter market and the priority is to sign Dani Olmo, per TV3",0,english
不得不去,0,chinese
"와, 그럼 그 선수는 정말로 순수하게 야구를 사랑하는구나.",1,korean
"아, 그럼 당신이 제 멘토가 될 수 있겠네요. 그렇게 쉽게 배울 수 있다니, 기대가 됩니다.",1,korean
مها_ناجى: هدفع الضرائب بس لما ادخل مستشفى حكومى هتعالج ؟ .. #عمرو_اديب: لا .. هتموتى #كل_يوم | #ON_Ehttp,1,arabic
"와, 너는 진짜 통통하니까 바늘도 못 뚫는구나.",0,korean
是谁给你出的主意来找我的,0,chinese
그래서 모든 외국인들이 한국어를 배우고 있겠군요.,0,korean
"네, 그래서 일본에 가면 꼭 사 오는데 이번에는 여행을 못 가서 너무 아쉽습니다.",0,korean
저도 그렇게 느껴요. 가을에는 등산을 가려고 했는데 벌써 추운 겨울이 와 버렸어요.,0,korean
行毒是我下的怎么着,0,chinese
"아, 그럼 사탕은 영양제처럼 좋은 건가 보군요.",1,korean
"فافرينكا عندما سئل عن ما يتمناه لرياضةالتنس في الاعوام المقبلة ؟ رد فافرينكا :ان يكون روجر فيدرر بصحة جيدة"" .- روجر هو كمال التنس ❤️",0,arabic
"아, 당신의 친구분은 진짜 훌륭한 추천을 하시네요.",1,korean
i found out about a cat antique shop in wichita falls today and i can’t stop thinking about it,0,english
听着啊爹给你念一段,1,chinese
You don't realize how much you need the homies until you get back together after a couple years. Gotta get out of your thoughts and comfort zone sometimes and just exist with the real ones.,0,english
"그럼요, 우리 몸은 배달음식으로도 충분히 건강을 유지할 수 있겠네요.",1,korean
什么时候靠过男人,1,chinese
就是响鼓才不用重锤呢,1,chinese
justin bieber is and always has been so hot sue me I’ll never stop being a belieber,0,english
그럼 당근 앱으로 거래하면서 한 번도 사기당한 적 없으시군요?,1,korean
我还是为演戏而生的呢,1,chinese
怎么会出现这样的事呢,0,chinese
这小妞就是闹着玩的,1,chinese
"와, 정말 놀러 가는 기분이 들었겠다.",1,korean
"선생님을 좋아하다니, 아주 고등학교 드라마 속 주인공이 됐네.",1,korean
哦吃完就让他躺着你们给他催肥呢,0,chinese
"a female peacock isn’t even called a peacock, it’s a peahen. i shit you not.",0,english
我就在琢磨咱们不应该全都出来,1,chinese
$4.55 now I’m a liar $VISL,0,english
그러게 말이야. 해운대는 전혀 볼거리가 없으니까.,1,korean
"와, 돈가스 먹으면서 게임하는 거, 진짜 대단하다.",1,korean
"네, 그런 경우가 있습니다. 특히 희귀 병인 고슴도치 스타핏 병에 걸리면 치료가 어렵다고 합니다.",0,korean
يلي اغتال الشهيد جبران تويني هو يلي طنش ويلي وزع بقلاوة شو بقي من قسمه بس متاجرة فيه,1,arabic
其实上次那个事情我也有责任,1,chinese
그럼 로제 떡볶이는 다이어트에 좋겠네요.,1,korean
说实话这二十三年来,0,chinese
他居然在背后来了这么一,1,chinese
그럼 정말 기대가 됩니다. 이제 곧 미슐랭 셰프가 되실 거 같네요.,1,korean
그럼 아마도 우리가 복근을 볼 수 있는 그날은 아마도 다가오지 않겠군요.,0,korean
I’m gonna miss scantrons shortening my name to “Christ” after 16 years,1,english
정말 좋아. 이렇게 충전효율이 안 좋으면 게임하는 동안 계속 긴장감 있겠다.,1,korean
http صور.. ريكي مارتن يخطب رسام سوري,0,arabic
user طبعا هذول خرفان شهرةيعني تلاقيه يلعب بوكيمونيتكلم عن طلاق براد بيت وانجلينايعني مواكبين الاحداث التافه,1,arabic
蔡将军我主公何在,0,chinese
"그래, 혼자서 다 잘하겠지. 밥 안 먹고 일만 하면 건강해지겠네.",1,korean
"아, 그래서 내가 강아지 키우기의 전문가가 된 거구나!",1,korean
حطه كله يا سيسي الكردوسي عايز اكتر http,1,arabic
"아, 그래서 집에서 슬기로운 의사 생활만 보고 계신 거군요.",1,korean
우리 집에 식물원이 생겼네.,0,korean
你必须去,1,chinese
"와, 너의 치킨 이야기는 정말로 나를 사로잡는구나.",1,korean
"사진과 실제가 다르면 더 흥미롭겠네요, 놀라운 선물을 기대하는 거죠.",1,korean
不是万能神丹,0,chinese
임실치즈피자? 그게 뭐야? 첨 들어봐.,0,korean
가끔씩은 하루에 몇 번씩이나 되나요?,1,korean
这是常识不知道你还光荣啊,1,chinese
随身带着啊,1,chinese
"너무 짜고 매운맛이 강해져서, 예전의 고소하고 담백한 맛이 느껴지지 않아요.",0,korean
"Hamburg baut jetzt also eine neue Oper und Kühne wird der Stadt dafür 330 Millionen Euro geben. Mal sehen, ob er dafür von Hamburg dann zum Papst ernannt wird.",1,german
Shout out James Boswell unibowl,1,english
"문과인데 암기를 못하다니, 이거 진짜 대단하네!",1,korean
"아, 젤리 공장 하나 차릴 수 있겠네요.",0,korean
love when the train stops in philly and everybody boards and of a sudden it smells like a ham sandwich,1,english
بعد غياب الفنان #عادل_امام عن المسرحيعود الينا #السيسي بفكاهة أقوىمع كل خطاب له يجب أن تضحك#كلمه_للسيسي_الفاشل,1,arabic
"아, 주식과 정신 질환, 그것들이 연관성이 있나요? 이제야 알았네요.",0,korean
"Broadband back, starting to feel a bit more normal.",0,english
"아, 그러면 제가 아예 집으로 여행사를 옮겨드릴까요?",1,korean
"아, '미스터 트롯'을 계속 듣는다니 정말 행운이네요.",1,korean
"그런 복잡한 사랑 이야기, 어떻게 이해하겠어?",1,korean
把道给占了,1,chinese
"제가 여행을 많이 다니지 않아서, 대만과 제주도만 다녀왔어요.",0,korean
你找这地儿可真够讲究的,1,chinese
اعتراف من نقابة الصحفيين الفاسدة: هناك مناخ معادى لحرية الصحافة بعد الانقلاب أكثر من إى وقت سابق، الصحافة اتهانت,0,arabic
thinking about how no one is obsessed with me,1,english
"우와, 쇼핑을 마치 운동처럼 하시는군요.",1,korean
学她拿你当宝贝啊,0,chinese
"아니, 그럼 연차를 쓰는 게 훨씬 좋잖아요. 휴가보다 더 많은 시간을 쉴 수 있으니까요.",0,korean
وفاة 5مدنيين في الحويجة لنقص الدواء بسبب حصار داعش على المدينة #ولاية_الأنبار http,0,arabic
user الخطيب هو من كان يتباهى في الجامعة العربية بمساعدة اميركا لهم,1,arabic
每时每刻都在饱受教益,1,chinese
"어, 근데 그거 알림 오지 않았는데?",0,korean
出卖朋友,0,chinese
"아니, 네 통장이 금고가 됐네!",0,korean
你说这个赏罚分明赏罚分明,1,chinese
user لا ابوك لا ابو من علمك اللعب بالاسواق.داعش,1,arabic
닭고기와 소고기로 식욕 자극받으면서 영양제로 건강 챙기는 거야? 대단하네.,1,korean
كلب إسرائيل وسيفها الإرهابي بوتن قاتل النساء والأطفال ظهرت حقيقته الإجرامية الحاقدة ، وكل الدول تقف معه قلبا وقلباوتعمل على بقاء السفاح بشار,1,arabic
그럼요. 정말 '기억에 남는' 수능 경험이 될 것 같네요.,1,korean
아직 주꾸미가 없어서 장을 봐야 할 것 같아요.,0,korean
كلمتين كدا يا وﻻد اﻻحبه #تمرد الشغل فيها كان نصيف و بأمانهلكن بعد #30_6 بقت معرصهف ما حدش م #اﻻخوان يشكك ف التوقيعات #نقطه,1,arabic
