text,label
"is that @user calling that show a train wreck. Way to respect the guest, guys",1
"""@user: .@user considering a run for the @user: http #5Things http <shocking> <>",1
a bad idea! http,0
"Fell asleep @ 8:30pm, woke up at 12:00am. Can't get back to #sleep. I had almost forgotten about you #insomnia - welcome back.",1
Can almost smell the turkey #hungry,0
#HowToGetUnfollowed Post pictures or videos of you smoking. Especially blowing smoke at the camera. #SoCool #Not #GTFO,1
Off to search for a Christmas gift for my dad bc procrastination,0
Stop by and pick up Alexandra's book with a coupon! http,0
"@user I think being gay is wrong, its like people chose to be gay just to piss off the magic old man that lives in the sky",1
@user yeah not to bad been asleep most of it my backs been playing up so been on strong painkillers that knock me out,0
Happened in my culture competency class...I couldn't continue to argue with ignorance <- my face in class http,0
Felicitats http #Penedesfera #notcies,0
Hardest parking i've probably ever done! #screwyousmallparkinglot,0
"@user @user We must be tolerant and embrace the peaceful Islamic faith, Muslims are our peaceful brothers",1
"i would tell ya, but you just wouldn't understand...",0
Yay its fucking Monday life is so perfect and magical I love everything,1
"Grandma's coming over, yay money. #lol #kidding",1
What to do with that old #motherboard you have laying around. #NOT http #guitarpicks,1
@user: COD AW SERVERS #OFFLINE,0
This is a great time for me not to be feeling well...,1
of course the day that it's a monsoon outside i have classes on and off from 10 AM to 8 PM #ilovelife,1
Event technology session is having Internet problems. #HSC2024,1
Bad Idea When You climb on the mountain http,0
"Aww I've just seen the pictures of @user from today, hows recovery going? #getwellsoon",0
Gonna be the shittest Christmas ever without my mum.. Gonna get so drunk,0
Stupid #doctors visits is gonna bury me!! Now that's #irony,1
Read at http the news '#Middle #East #updates #/ #Assad: #US-led #airstrikes #serious #or #efficient',0
NEW #HipHop MUSIC:> @user - Crack Music: http #JerseyCity #NJ #NY #BirthOfAWinner,0
Love working and be exhausted all the time,1
Funny Annoying You Men's Tee http Great for family reunions! #funny #tees,1
My dogs like to be nice and toasty while relaxing at home #adorable #puppy #socute #icant http,0
"btw, dummy, 140 limits @user @user @user @user @user @user",0
"@user @user @user My,Nephew stopped a lot. His long hair. looks like a drug dealer. Never smoked anything Pills?not an aspirin.",0
@user @user @user that wasn't a choke hold the officer was trying to keep #EricGarner from falling forward.,1
"Tax & NI on your wage slip is like Jim Bowen on bullseye goin ""look what you coulda won"" #rubbingitin #crap http",0
"Good news! Thanks to the #ACA, my husbands insurance premium jumped up 971.2% in one year! Hooray! #ThanksObama",1
"Math presentation, ap history test, ap science test, and whatever the hell we're doing in Asgill... Today should be fun!",1
@user #pantsdowntiggy was his crime. Pixelation #moot or #irony,0
Just woken up after 16 hour night shift to no gas. Looks like microwave meal and cold shower for me today. Woo! #sarcasm #fml,1
I always can't wait to see how works. #IfYouKnowWhatIMean,1
Watching VT and Cincy - qb for VT with (GODS) down left arm (GIFT) down right arm. - #irony #howmanygods #punctuationmatters,1
"so @user still waiting, my son is very happy enjoing his christmas gift ... i cant understand how u didn't prevent this ...",1
Wheres the rodgers in brigade,1
"Christmas part two began at my parents house today.Many gifts,mountains of wrapping paper,excited nephew,missing batteries, veggie chilli.",0
@user @user Can we bring back Youkilis? Remember when 30 year old Youk charged mound & 19 year old Porcello dropped him? #RedSox,0
"#OPEC #chief #defends #policy, #says #group to #try to #ride #out #price #fall. http via @user",0
@user @user @user @user @user @user mmmm,0
@user @user I love button pushers!,1
"Hey @user, some of your geeky/nerdy followers need #sarcasm marker on posts like that. Otherwise, they'll start doing exactly the same :)",0
"LOL actually all 3 are, but i use 1 just for email @user @user @user @user @user",0
@user @user @user @user for Elrufai#he represents the masses#so it is our victory#,0
I like the feeling when people thinks they're 2 steps ahead of me... But the truth is they're miles and miles behind me AHAHAHAHA #sarcasm,1
@user It's so the speaker remembers their talk's over. Otherwise how would they know? #sarcasm,1
@user @user I'm sure you're all inconsolable,1
Who tf wants a Christmas elf tattooed on them? That's the dumbest shit I've ever heard of. #sorryimstoned #inkmasterfinale #inkmasterrivals,0
@user He is exactly that sort of person. Weirdo!,0
Yay for cars having a case of the Mondays. #not,1
"Sad I don't have a Christmas jumper, thanks @user for your super fast delivery",1
Dead supportive family I've got.,1
#Celtics RT @user: Jameer Nelson will start in his return to Orlando tonight. Marcus Smart will come off the bench.,0
"@user i am okay with a trade, but they better get a darn good package and it better not be in the division",0
@user OSU opponents record much better than Baylor. Outright conf champs. Wins against 7 tms with winning records (Baylor 3),0
Omg @user didn't tell @user he was in town #trueFriend,1
Love games during the week because I don't get to go to sleep until like 1!,1
